NCT_id,matched_string,manual_string,criteria_string,parent_concept_id,parent_concept_name,w.mod,severity_modifier,severity_term,pre_post,snomed_id,snomed_name,c2q_snomed_id,c2q_snomed_name
NCT00295607,diarrhoea,severe diarrhea,"ngoing corticosteroid therapy.

          -  Patient has significant, uncontrolled concomitant infections and/or severe diarrhoea,
             vomiting, active upper gastro-intestinal tract malabsorp",196523,Diarrhea,TRUE,severe,severe,pre,409587002,Severe diarrhea (finding),,
NCT00301834,combined immunodeficiency disease,Combined immunodeficiency disease (Nezelof's),"immunodeficiency disease

                    -  Chediak-Higashi disease

                    -  Wiskott-Aldrich syndrome

                    -  Combined immunodeficiency disease (Nezelof's)

       ",40483560,Combined immunodeficiency disease,FALSE,unmarked,,,55602000,Nezelof's syndrome (disorder),,
NCT00376675,pain,severe pain," BP ≥ 100 mmHg on 2 separate visits ≤ 2 months prior to randomization]; or a
             resting heart rate > 100

          5. Moderate or severe pain as defined by an average daily score ≥ 4 on a p",4329041,Pain,TRUE,severe,severe,pre,76948002,Severe pain (finding),,
NCT00394043,muscle atrophy,muscle atrophy,"atency greater than
             0.2 ms

        Exclusion Criteria:

          -  severe CTS that has progressed to muscle atrophy

          -  pregnancy

          -  previous wrist surgery on the ",78236,Muscle atrophy,TRUE,unmarked,,,88092000,Muscle atrophy (disorder),N/A,
NCT00399568,pain,Severe pain,"l (spinal or epidural) opioid analgesics prior to or during
             surgery

          -  Moderate to Severe pain at rest

        Exclusion Criteria:

          -  Requires any additional surgic",4329041,Pain,FALSE,severe,severe,pre,76948002,Severe pain (finding),,
NCT00405535,affective disorder,Schizoaffective Disorder,"

          -  Active substance use disorder within the last 6 months

          -  Comorbid schizophrenia, schizoaffective disorder, bipolar disorder, tic disorder,
             Tourette Disorder, sc",444100,Mood disorder,FALSE,unmarked,,,68890003,Schizoaffective disorder (disorder),,
NCT00409578,left ventricular systolic dysfunction,left ventricular systolic dysfunction,"          chemical structures.

          -  Presence of clinically overt heart failure

          -  Known evidence of left ventricular systolic dysfunction

          -  Percutaneous coronary interv",4047088,Left ventricular systolic dysfunction,FALSE,unmarked,,,134401001,Left ventricular systolic dysfunction (disorder),,
NCT00422981,cleft palate,cleft palate,"harynx, except for surgical correction of the nasal septum or a ""broken
             nose"" at least 2 years previously, or surgical repair of cleft palate when <30 years
             of age.

        ",135923,Cleft palate,FALSE,unmarked,,,87979003,Cleft palate (disorder),,
NCT00435903,major depression,major depression with significant functional impairment,"of schizophrenia, schizoaffective disorder,
             schizophreniform disorder, bipolar disorder, or major depression with significant
             functional impairment

          3. Smoking 10 o",4152280,Major depressive disorder,TRUE,severe,major,pre,370143000,Major depressive disorder (disorder),,
NCT00443339,inflammatory disease,chronic inflammatory disease,"ia

          -  Creatinine level > 120% upper normal value for the center.

          -  Clinically significant systemic infection or chronic inflammatory disease (eg,
             rheumatoid arthrit",4027384,Inflammatory disorder,TRUE,unmarked,,,128294001,Chronic inflammatory disorder (disorder),,
NCT00459550,affective disorder,bipolar affective disorder,"ndication to lumbar puncture.

          -  History or evidence of significant psychiatric illness such as schizophrenia or
             bipolar affective disorder or significant neurological disease ",444100,Mood disorder,TRUE,unmarked,,,13746004,Bipolar disorder (disorder),,
NCT00488527,hyperglycemia,hyperglycemia,"   agents) during more than 6 months, who need a prolonged action basal insulin to
             control hyperglycemia

          -  Glycosylated hemoglobin > 8,0% and < 10 %

          -  Body mass in",4214376,Hyperglycemia,FALSE,unmarked,,,80394007,Hyperglycemia (disorder),,
NCT00521040,dermatitis,atopic dermatitis,"se of inhaled steroids and/or long acting β2 agonists; and/or corticosteroid
             dependent asthma

          -  atopic dermatitis or urticaria requiring an antihistamine treatment or the
    ",45766714,Inflammatory dermatosis,FALSE,unmarked,,,24079001,Atopic dermatitis (disorder),,
NCT00540592,diarrhoea,diarrhea," a
             moderate or severe illness with or without fever. All vaccines can be administered to
             persons with a minor illness such as diarrhoea, mild upper respiratory infection with",196523,Diarrhea,TRUE,unmarked,,,62315008,Diarrhea (finding),,
NCT00541164,pain,pain,"heir primary care physician (PCP) to enroll in
             the study

          -  Regarding weakness, fatigue, and pain, subjects must experience at least two of the
             three symptoms on m",4329041,Pain,FALSE,unmarked,,,22253000,Pain (finding),,
NCT00546975,respiratory failure,respiratory failure,"      5. Patients taking supplements (EPA, DHA)

          6. Any concomitant severe disease e.g.

               -  Patients with respiratory failure (FEV<0.8l/sec)

               -  Patients with r",4256228,Respiratory failure,TRUE,unmarked,,,409622000,Respiratory failure (disorder),,
NCT00547638,multiple trauma,significant multiple trauma,"
          -  patient is reasonably expected to survive the study

        Exclusion Criteria:

          -  significant multiple trauma (merely multiple wounds are allowed)

          -  peripheral v",4096313,Multiple injuries,TRUE,severe,significant,post,262519004,Multiple injuries (disorder),,
NCT00549601,dermatitis,atopic dermatitis,"revent accurate
             assessment of the adhesion and potential skin irritation of the patch (e.g., atopic
             dermatitis, wounded or scratched skin in the area of the patch application",45766714,Inflammatory dermatosis,FALSE,unmarked,,,24079001,Atopic dermatitis (disorder),,
NCT00555932,birth asphyxia,birth asphyxia,"n MR and MRV as part of their diagnostic workup. Clinical
             indications for MR could include birth asphyxia, seizures, irritability, lethargy,
             abnormal neurological examination",4184996,Birth asphyxia,FALSE,unmarked,,,413654009,Birth asphyxia (disorder),,
NCT00563823,diarrhea,diarrhea," limited to, any of the following
             conditions:

               -  Ulcerative disease

               -  Uncontrolled nausea

               -  Vomiting

               -  Diarrhea which mi",196523,Diarrhea,FALSE,unmarked,,,62315008,Diarrhea (finding),,
NCT00569192,asthma attack,severe asthma attack,"ower respiratory tract infection, within 2 weeks of
             screening.

          -  Any history of acute or severe asthma attack requiring ICU admission or ventilatory
             support.

   ",45771045,Acute exacerbation of asthma,TRUE,severe,severe,pre,708090002,Acute severe exacerbation of asthma (disorder),,
NCT00584805,carrier,carrier,"zation).

          -  Clinically significant abnormal lab results including evidence of Hepatitis C,
             Hepatitis B carrier state, or elevated (2X normal) liver function tests.

          -",4106092,Carrier of disorder,TRUE,unmarked,,,29679002,Carrier of disorder (finding),,
NCT00596219,inflammatory disease,chronic inflammatory disease,"       -  History of acute or chronic hepatic disorder or a significant bleeding disorder.

          -  History of chronic inflammatory disease (e.g. ulcerative colitis, Crohn's
             disease,",4027384,Inflammatory disorder,TRUE,unmarked,,,128294001,Chronic inflammatory disorder (disorder),,
NCT00605891,chronic obstructive lung disease,chronic obstructive lung disease,"ional Heart Lung and Blood Institute/World Health Organization (NHLBI/WHO) Global
             Initiative for Chronic Obstructive Lung Disease (GOLD)

          -  Patient meets the following requirem",255573,Chronic obstructive lung disease,FALSE,unmarked,,,13645005,Chronic obstructive lung disease (disorder),,
NCT00617318,visual impairment,visual impairment,"medical condition that may interfere with study protocol
             adherence.

          -  Subject has any disorder (excluding illiteracy or visual impairment) that compromises
             the ab",4265433,Visual impairment,FALSE,unmarked,,,397540003,Visual impairment (disorder),,
NCT00624832,asthma attack,asthma attack,"       -  Current active smokers

          -  Patients who have been hospitalized or had emergency treatment for an asthma attack in
             the 12 months prior to study start

          -  Hist",45771045,Acute exacerbation of asthma,FALSE,unmarked,,,708038006,Acute exacerbation of asthma (disorder),,
NCT00641134,left ventricular systolic dysfunction,Moderate-to-severe left ventricular systolic dysfunction,"aine >IIb), metastatic cancer)

          -  Symptomatic (NYHA II-IV) chronic heart failure

          -  Moderate-to-severe left ventricular systolic dysfunction (left ventricular ejection
          ",4047088,Left ventricular systolic dysfunction,TRUE,severe,severe,pre,9.91E+11,Severe left ventricular systolic dysfunction (disorder),,
NCT00642694,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,"         information, or evidence at examination; this includes severe sleep apnea, seizure
             disorder, or chronic obstructive pulmonary disease (COPD).

          -  Patient report or evid",255573,Chronic obstructive lung disease,TRUE,unmarked,,,13645005,Chronic obstructive lung disease (disorder),,
NCT00643578,asthma attack,severe asthma attack," >10 pack-year smoking history

          -  Respiratory tract infection within the last four weeks

          -  History of severe asthma attack requiring hospitalization in the previous 12 months

 ",45771045,Acute exacerbation of asthma,TRUE,severe,severe,post,708038006,Acute exacerbation of asthma (disorder),,
NCT00645190,degenerative disorder,neurodegenerative disorder,"sent form by subject and assent form by care-giver

        Exclusion Criteria:

          -  Patients with neurodegenerative disorders such as Parkinson's disease

          -  Patients with some con",4179873,Degenerative disorder,FALSE,unmarked,,,362975008,Degenerative disorder (disorder),,
NCT00670098,major depression,major depression,"severe cardiac and pulmonary diseases, as well as uncontrolled
             type 2 diabetes.

               -  Evidence of major depression or other psychiatric disorder (schizophrenia,
             ",4152280,Major depressive disorder,TRUE,severe,major,pre,370143000,Major depressive disorder (disorder),,
NCT00671996,cytopenia,thrombocytopenia,":

          1. Other tumour types than colon adenocarcinomas

          2. Current severe neutropenia, leucopenia or thrombocytopenia

          3. Severely reduced liver or renal function

         ",4179922,Cytopenia,TRUE,unmarked,,,302215000,Thrombocytopenic disorder (disorder),,
NCT00685373,inflammatory disease,Neonatal Onset Multisystem Inflammatory Disease,"amilial Cold Autoinflammatory Syndrome, Muckle-Wells Syndrome or
             Neonatal Onset Multisystem Inflammatory Disease. Prior agreement between the
             Investigator and Novartis for st",4027384,Inflammatory disorder,FALSE,unmarked,,,239826001,"Chronic infantile neurological, cutaneous and articular syndrome (disorder)",,
NCT00692172,systemic infection,systemic infection,"al hematology values or history of an immunosuppressive
             disorder

          -  Serious local infection or systemic infection within 3 months prior to the first dose
             of alefac",132797,Sepsis,FALSE,unmarked,,,91302008,Sepsis (disorder),,
NCT00695682,macular edema,diabetic macular edema," which did not improve with
             conventional therapy

          -  Patients with refractory diabetic macular edema in the study eye which did not improve
             with conventional therap",4290333,Macular retinal edema,FALSE,unmarked,,,312912001,Macular edema due to diabetes mellitus (disorder),,
NCT00697580,birth asphyxia,chronic birth asphyxia,"viously diagnosed with any major illness since birth (e.g. severe intrauterine
             growth retardation, chronic birth asphyxia, cancer).

          -  Children will not be eligible for partici",4184996,Birth asphyxia,TRUE,unmarked,,,413654009,Birth asphyxia (disorder),,
NCT00699413,birth asphyxia,chronic birth asphyxia,"viously diagnosed with any major illness since birth (e.g. sever intrauterine
             growth retardation, chronic birth asphyxia, cancer).

          -  Children with type 1 and/or type 2 diabete",4184996,Birth asphyxia,FALSE,unmarked,,,413654009,Birth asphyxia (disorder),,
NCT00706940,corneal scar,corneal scar,"ögren's syndrome

          4. Has any clinically significant lid or conjunctival abnormalities, neovascularization,
             corneal scars or corneal opacities;

          5. Has limbal or bulbar",4318992,Corneal scar,TRUE,unmarked,,,95726001,Corneal scar (disorder),,
NCT00713323,sinus bradycardia,sinus bradycardia,"  infarction

          -  QT interval; of > 450 ms (males) or > 470 ms (females) at Visit 1

          -  Secondary or tertiary AV block or sinus bradycardia (HR <50bpm unless physiological)
        ",4171683,Sinus bradycardia,FALSE,unmarked,,,49710005,Sinus bradycardia (disorder),,
NCT00737282,inflammatory disease,pelvic inflammatory disease," or expecting to become
             pregnant at any time during the study;

          -  Documented endometriosis, active pelvic inflammatory disease (PID), platelet
             dysfunction, or Von ",4027384,Inflammatory disorder,FALSE,unmarked,,,198130006,Female pelvic inflammatory disease (disorder),,
NCT00758862,systemic infection,systemic infection,"        Exclusion Criteria:

          -  Immunosuppressed state or other serious systemic disease

          -  Signs and/or symptoms of systemic infection, such as malaise and fever or local
       ",132797,Sepsis,TRUE,unmarked,,,91302008,Sepsis (disorder),,
NCT00766818,hypothyroidism,hypothyroidism,"tra® component

          -  Chronic hepatitis B and/or C virus infection

          -  Cushing's Syndrome

          -  Untreated hypothyroidism or hyperthyroidism

          -  Serum Creatinine > 1.",140673,Hypothyroidism,FALSE,unmarked,,,40930008,Hypothyroidism (disorder),,
NCT00778310,learning disorder,learning disorder," Concerta (OROS-methylphenidate)

        Exclusion Criteria:

          -  IQ < 95

          -  Presence of Learning Disorder

          -  Presence of an Affective or Psychotic Disorder

          ",4085156,Developmental academic disorder,FALSE,unmarked,,,1855002,Developmental academic disorder (disorder),,
NCT00796783,hypothyroidism,significant hypothyroidism,"           as those with severe obesity, major depression or a history of alcoholism.

          -  Uncontrolled, clinically significant hypothyroidism or hyperthyroidism.

          -  Have renal fai",140673,Hypothyroidism,TRUE,unmarked,,,40930008,Hypothyroidism (disorder),,
NCT00801307,acute asthma,acute asthma,"hma medication, no treatment for asthma in an emergency,acute care setting and
                  no admission to hospital for acute asthma

        Patients with moderate / severe COPD:

          -  ",4125022,Acute asthma,TRUE,unmarked,,,304527002,Acute asthma (disorder),,
NCT00829179,allergic asthma,allergic asthma,"illing to and competent to sign the consent form

        Exclusion Criteria:

          -  Subjects that do not have allergic asthma will be excluded.

          -  Subjects with ER visits or upper r",4191479,Allergic asthma,FALSE,unmarked,,,389145006,Allergic asthma (disorder),,
NCT00831220,inflammatory disease,chronic inflammatory disease,"o needed invasive or non invasive mechanical
             ventilation

          -  Patients with other chronic inflammatory diseases.

          -  Patients with other acute or active chronic systemi",4027384,Inflammatory disorder,FALSE,unmarked,,,128294001,Chronic inflammatory disorder (disorder),,
NCT00833989,disability,significant disability,"eria:

          -  History of a previous symptomatic stroke within 3 months prior to study entry.

          -  Presence of significant disability prior to the current stroke. Significant disability
",4052648,Disability,TRUE,severe,significant,post,21134002,Disability (finding),,
NCT00837174,oral lesion,oral lesion,"or tumor mass that can be accurately measured in two dimensions by
                  CT,MRI, medical photograph (skin or oral lesion), plain X-ray, PET scan or other
                  conventional tec",43530620,Oral lesion,FALSE,unmarked,,,1.071E+12,Oral lesion (finding),,
NCT00847600,seizure disorder,seizure disorder,"clusion Criteria:

          1. Evidence of serious neurologic or endocrine disorder, for example severe head trauma,
             seizure disorder, dementia, Cushings disease, or thyroid disorder, me",4029498,Seizure disorder,TRUE,unmarked,,,128613002,Seizure disorder (disorder),,
NCT00863330,combined immunodeficiency disease,Severe Combined Immunodeficiency Disease,"          completion of study treatment

          -  No HIV or hepatitis B or C positivity

          -  No form of primary immunodeficiency (e.g., severe combined immunodeficiency disease or
       ",40483560,Combined immunodeficiency disease,TRUE,severe,severe,pre,31323000,Severe combined immunodeficiency disease (disorder),,
NCT00905645,postoperative complication,significant postoperative complications," Pregnant or lactating

          -  Medical condition that might result in unduly high surgical risk and/or significant
             postoperative complications, in the judgment of the Investigator

",4300243,Postoperative complication,TRUE,severe,significant,post,385486001,Postoperative complication (disorder),,
NCT00906100,sinus bradycardia,sinus bradycardia,"IV heart failure despite a stable and optimized
             medical regimen

          -  Normal sinus rhythm or sinus bradycardia

        Exclusion Criteria:

          -  White-Parkinson-White syn",4171683,Sinus bradycardia,FALSE,unmarked,,,49710005,Sinus bradycardia (disorder),,
NCT00911144,panic,tympanic,"ines.

          -  Major congenital defects or serious chronic illness.

          -  History of any neurologic disorders or seizures.

          -  Tympanic or axillary/ oral temperature >= 37.5°C o",4196358,Panic,TRUE,unmarked,,,N/A,,,
NCT00936936,carrier,active carrier (HBsAg +)," as brain or
             meningeal metastases that are not in complete remission.

          6. Patients with active hepatitis B, either active carrier (HBsAg +) or viremic (HBV DNA
             >/=1",4106092,Carrier of disorder,FALSE,unmarked,,,29679002,Carrier of disorder (finding),,
NCT00937924,acute asthma,acute asthma,"y of allergic or adverse reactions to midazolam, diphenhydramine, or
             promethazine.

          -  Acute asthma, narrow angle glaucoma, concurrent use of potent inhibitors of CYP3A4
       ",4125022,Acute asthma,FALSE,unmarked,,,304527002,Acute asthma (disorder),,
NCT00953199,seizure disorder,seizure disorder,"   Exclusion Criteria:

          -  Known sensitivity to lidocaine or contrast agent

          -  History of seizure disorder

          -  History of cardiac arrhythmia (tachyarrhythmia, bradyarrhy",4029498,Seizure disorder,FALSE,unmarked,,,128613002,Seizure disorder (disorder),,
NCT00972400,combined immunodeficiency disease,Severe Combined Immunodeficiency Disease,"ent English language skills

          -  No significant cognitive impairment

          -  No concurrent severe combined immunodeficiency disease

        PRIOR CONCURRENT THERAPY:

          -  See ",40483560,Combined immunodeficiency disease,TRUE,severe,severe,pre,31323000,Severe combined immunodeficiency disease (disorder),,
NCT00987415,pericarditis,constrictive pericarditis,"vel > 250 pg/ml

        Exclusion Criteria:

          -  Hypertrophic or restrictive cardiomyopathy, constrictive pericarditis, biopsy-proven
             myocarditis, severe stenotic valvular disea",4138837,Pericarditis,TRUE,unmarked,,,85598007,Constrictive pericarditis (disorder),,
NCT00996892,hyperglycemia,hyperglycemia,"eatment
             in Cycle 1

          -  History of diabetes requiring daily medication, or history of Grade >= 3 fasting
             hyperglycemia

          -  Current severe, uncontrolled sys",4214376,Hyperglycemia,TRUE,unmarked,,,80394007,Hyperglycemia (disorder),,
NCT00998296,diarrhoea,chronic diarrhea,"   1. Active infectious disease

          2. Recent surgery within the last 4 weeks prior visit 1.

          3. Chronic diarrhoea or gastrointestinal tract disease resulting in an inability to take
",196523,Diarrhea,FALSE,unmarked,,,236071009,Chronic diarrhea (disorder),,
NCT01000974,combined immunodeficiency disease,Severe Combined Immunodeficiency Disease,"of uncorrected congenital malformation of the gastrointestinal tract that
             would predispose the infant to intussusception.

          -  History of Severe Combined Immunodeficiency Disease",40483560,Combined immunodeficiency disease,FALSE,severe,severe,pre,31323000,Severe combined immunodeficiency disease (disorder),,
NCT01007006,multiple trauma,Multiple Traumatic Brain Injury,"ish language for written and oral communication

          -  Have diagnosis of Traumatic Brain Injury(TBI) Multiple Traumatic Brain Injury (MTBI),
             Post Traumatic Stress Disorder (PTSD) o",4096313,Multiple injuries,FALSE,unmarked,,,262519004,Multiple injuries (disorder),,
NCT01008943,muscular dystrophy,muscular dystrophy,"  significant pelvic floor abnormalities with high pressure instability

          -  Neuromuscular disorder (e.g., muscular dystrophy, multiple sclerosis)

          -  Uncontrolled diabetes

       ",4247802,Muscular dystrophy,TRUE,unmarked,,,73297009,Muscular dystrophy (disorder),,
NCT01009554,gingivitis,gingivitis,"           toothpastes and mouthrinses.

          -  History or current evidence of significant oral soft tissue pathology, excluding
             gingivitis, based on the dentist's visual examinatio",4281516,Gingivitis,TRUE,unmarked,,,66383009,Gingivitis (disorder),,
NCT01012414,left ventricular systolic dysfunction,left ventricular systolic dysfunction,"     hyperphosphatemia (≥ 5.5 mg/dL)

          -  Plan to initiate renal replacement therapy (dialysis) during the study

          -  History of left ventricular systolic dysfunction with an ejectio",4047088,Left ventricular systolic dysfunction,FALSE,unmarked,,,134401001,Left ventricular systolic dysfunction (disorder),,
NCT01019707,acute asthma,acute asthma,"

         10. Have a significant family history of early cardiovascular morbidity or mortality.

         11. Have a diagnosis of adult asthma, including those with a history of acute asthma
        ",4125022,Acute asthma,TRUE,unmarked,,,304527002,Acute asthma (disorder),,
NCT01021397,cleft palate,cleft palate,"d
             topical antifungal agents are not excluded.

          -  Major congenital malformations, including congenital cleft palate, cytogenetic
             abnormalities, or serious chronic d",135923,Cleft palate,TRUE,unmarked,,,87979003,Cleft palate (disorder),,
NCT01039103,disability,Expanded Disability Status Scale,"o only have optic neuritis
             will be excluded from this study

          -  A maximum Expanded Disability Status Scale (EDSS) score of ≤ 6

          -  New neurological symptoms or exacerb",4052648,Disability,FALSE,unmarked,,,N/A,,,
NCT01045174,acute asthma,acute asthma,"istory of asthma

          -  children must be presenting to the emergency department for treatment of acute asthma

          -  children must qualify to be treated for acute asthma according to an ",4125022,Acute asthma,FALSE,unmarked,,,304527002,Acute asthma (disorder),,
NCT01064401,seizure disorder,seizure disorder,"g or alcohol abuse (as defined by the Investigator) within the 2 years
             prior to randomization

          -  History of seizure disorder or unexplained blackouts OR history of a seizure wi",4029498,Seizure disorder,FALSE,unmarked,,,128613002,Seizure disorder (disorder),,
NCT01078610,sepsis,sepsis," the drug or one of the other ingredients

          -  Active tuberculosis or other severe infections (e.g. sepsis and opportunistic
             infections)

          -  Moderate to severe cardiac ",132797,Sepsis,TRUE,unmarked,,,91302008,Sepsis (disorder),,
NCT01095055,dermatitis,clinically significant contact dermatitis,"erbated by any component of
             the vaccine, e.g. egg products, Kathon.

          -  History of clinically significant contact dermatitis

          -  Any history of anaphylaxis in reaction",45766714,Inflammatory dermatosis,TRUE,unmarked,,,40275004,Contact dermatitis (disorder),,
