,NCT_id,matched_string,criteria_string,parent_concept_id,parent_concept_name,CONCEPT_GUESS,DESCENDANT_GUESS
18,NCT03517319,muscle atrophy,"fore screening

          -  history or plan for tendon lengthening surgery

          -  significant contracture ormuscle atrophy at the target joint or muscle

          -  concurrent treatment with",78236,Muscle atrophy,ormuscle atrophy,Myofibrosis
19,NCT01427361,muscular atrophy," Exclusion Criteria:

          1. Patient with infection or sepsis.

          2. Patient with any vascular insufficiency, muscular atrophy, or neuromuscular disease
             severe enough to com",78236,Muscle atrophy,muscular atrophy,Amyotrophy
20,NCT00692172,systemic infection,"al hematology values or history of an immunosuppressive
             disorder

          -  Serious local infection or systemic infection within 3 months prior to the first dose
             of alefac",132797,Sepsis,systemic infection,Pyaemia
21,NCT01865708,sepsis,"n applicable) consent for enrollment.

        Exclusion Criteria:

          -  18 yo or older.

          -  Urosepsis at time of study enrollment

          -  Known bladder or genitourinary abnorm",132797,Sepsis,urosepsis,Sepsis
22,NCT02370160,systemic infection,"r infectious pulmonary parenchymal disease

          -  Presence of active CNS leukemia

          -  Presence of any uncontrolled systemic infection

          -  Documented uncontrolled seizure dis",132797,Sepsis,systemic infection,Pyaemia
23,NCT03737929,sepsis,"    -  Contra-indication to transoesophageal echocardiogram (TEE)

          -  Carotid stenosis > 80%,

          -  Active infection or sepsis

          -  Pleural adhesions,

          -  Elevated",132797,Sepsis,sepsis,Sepsis
24,NCT02304978,sepsis,"able angina or myocardial infarction in the acute phase (not older
             than two months)

          -  Severe sepsis (hospitalization)

          -  Cirrhosis stage Child C

          -  Chron",132797,Sepsis,sepsis,Sepsis
25,NCT01543022,systemic infection," that will preclude insertion of the Symphony
             device.

         10. Moderate to severe aortic insufficiency (2+ or more).

         11. Ongoing systemic infection defined as two of the fo",132797,Sepsis,systemic infection,Pyaemia
26,NCT00758862,systemic infection,"        Exclusion Criteria:

          -  Immunosuppressed state or other serious systemic disease

          -  Signs and/or symptoms of systemic infection, such as malaise and fever or local
       ",132797,Sepsis,systemic disease,Pyaemia
27,NCT03230916,sepsis," been discontinued, or has received
             REL for any other reason.

          -  Has a current diagnosis of cystic fibrosis, meningitis, or severe sepsis.

          -  Is expected to survive ",132797,Sepsis,sepsis,Sepsis
28,NCT01687166,sepsis,"nths) prior to enrollment

          -  Left atrial appendage closure device

          -  Any other significant uncontrolled or unstable medical condition (e.g. sepsis, acute
             metabolic i",132797,Sepsis,sepsis,Sepsis
29,NCT01078610,sepsis," the drug or one of the other ingredients

          -  Active tuberculosis or other severe infections (e.g. sepsis and opportunistic
             infections)

          -  Moderate to severe cardiac ",132797,Sepsis,sepsis,Sepsis
30,NCT02432638,cleft palate,"will include all infants regardless of syndromic diagnosis, other organ
             system abnormalities, cleft palate diagnosis or the presence of other concurrent
             craniofacial anomalie",135923,Cleft palate,cleft palate,Cleft uvula
31,NCT03366740,cleft palate,"     ICU support during the admission

          -  Birth defect like complex congenital heart diseases, cleft lip and cleft palate, Down
             syndrome and cerebral palsy and others that may i",135923,Cleft palate,cleft lip,Cleft uvula
32,NCT02858388,cleft palate,"sion Criteria:

          1. Outcomes of adenotonsillectomy

          2. Velo-palatal insufficiencies, cleft lip and cleft palate.

          3. Hearing loss of perceptual, and mixed type.

         ",135923,Cleft palate,cleft lip,Cleft uvula
33,NCT00422981,cleft palate,"harynx, except for surgical correction of the nasal septum or a ""broken
             nose"" at least 2 years previously, or surgical repair of cleft palate when <30 years
             of age.

        ",135923,Cleft palate,cleft palate,Cleft uvula
34,NCT04023825,cleft palate,"-  children between 5 months and 12 years old

          -  weight >5kg

          -  children undergoing cleft palate repair surgery with or without upper lip surgery

        Exclusion Criteria:

  ",135923,Cleft palate,cleft palate,Cleft uvula
35,NCT02435407,cleft palate,"ly significant)

        Exclusion Criteria:

          -  •A child who has an anatomical cause for feeding problems such as cleft palate or
             significant oromotor abnormality

            ",135923,Cleft palate,cleft palate,Cleft uvula
36,NCT01021397,cleft palate,"d
             topical antifungal agents are not excluded.

          -  Major congenital malformations, including congenital cleft palate, cytogenetic
             abnormalities, or serious chronic d",135923,Cleft palate,cleft palate,Cleft uvula
37,NCT02975310,cleft palate," not be able to complete the follow-up appointments/evaluations

          6. Have significant oral structural abnormalities, e.g. unrepaired cleft palate

          7. Septal deviation requiring corr",135923,Cleft palate,cleft palate,Cleft uvula
38,NCT03236194,cleft palate," a congenital anomaly or neonatal condition that significantly affects a
             newborn's feeding (e.g. cleft lip, cleft palate, metabolic disease)

          4. any major maternal morbidities a",135923,Cleft palate,cleft lip,Cleft uvula
39,NCT01623310,cleft palate,"onths before the screening visit

          -  Current, ongoing rhinitis medicamentosa (rebound rhinitis)

          -  Have significant oral structural abnormalities, eg, a cleft palate

          - ",135923,Cleft palate,cleft palate,Cleft uvula
40,NCT00766818,hypothyroidism,"tra® component

          -  Chronic hepatitis B and/or C virus infection

          -  Cushing's Syndrome

          -  Untreated hypothyroidism or hyperthyroidism

          -  Serum Creatinine > 1.",140673,Hypothyroidism,hypothyroidism,Hypothyroidism
41,NCT02607254,hypothyroidism,"             symptomatic peripheral vascular disease including intermittent claudication,
             pernicious anemia, untreated hypothyroidism, venous insufficiency, or spinal stenosis.

         ",140673,Hypothyroidism,hypothyroidism,Hypothyroidism
42,NCT02895087,hypothyroid," sleep disorder, Addison's disease, diabetes or thyroid/pituitary/adrenal/splenic
             disorder (note: corrected ` may be allowed if recent Thyroid
             Stimulating ",140673,Hypothyroidism,thyroid,GDTH I
43,NCT02023554,hypothyroidism,"h renal or hepatic dysfunction;

          -  patients with congestive heart failure;

          -  patients with hypothyroidism or hyperthyroidism;

          -  patients taking drugs likely to affec",140673,Hypothyroidism,hypothyroidism,Hypothyroidism
44,NCT03817125,hypothyroidism,"trictive procedures such as
             banding, are permitted).

          7. Any diagnosis of autoimmune disease. Participants with Type I diabetes mellitus,
             hypothyroidism only requir",140673,Hypothyroidism,hypothyroidism,Hypothyroidism
45,NCT02532335,hypothyroidism,"el surgery

        Inflammatory bowel disease

        Uncontrolled diabetes mellitus (fasting blood glucose >6.7 mmol/L), hypothyroidism or
        hyperthyroidism, or other significant endocrine di",140673,Hypothyroidism,hypothyroidism,Hypothyroidism
46,NCT00796783,hypothyroidism,"           as those with severe obesity, major depression or a history of alcoholism.

          -  Uncontrolled, clinically significant hypothyroidism or hyperthyroidism.

          -  Have renal fai",140673,Hypothyroidism,hypothyroidism,Hypothyroidism
47,NCT01140997,hypothyroidism,"rocess, history of
             significant pulmonary disease or any history of interstitial lung disease.

          -  History of hypothyroidism or current treatment for thyroid disease.

          ",140673,Hypothyroidism,hypothyroidism,Hypothyroidism
48,NCT03379012,hypothyroidism,"er; 5. Normal PSA level

        Exclusion Criteria:

          1. Prostate and other cancers history

          2. Hypothyroidism

          3. History of serious cardiac arrhythmia, congestive heart",140673,Hypothyroidism,hypothyroidism,Hypothyroidism
49,NCT01167127,hypothyroidism,"th hypoxia and/or hypercapnia, severe obstructive pulmonary disease, cor
             pulmonale, severe bronchial asthma, paralytic ileus.

         15. Patients with myxodema, hypothyroidism, Addison",140673,Hypothyroidism,hypothyroidism,Hypothyroidism
50,NCT03595553,diarrhea," of age, at the time of signing the informed consent.

          2. Signs and symptoms of CDI including diarrhea such that in the Investigator's opinion
             CDI antimicrobial therapy is requi",196523,Diarrhea,diarrhea,Diarrhea
51,NCT00998296,diarrhoea,"   1. Active infectious disease

          2. Recent surgery within the last 4 weeks prior visit 1.

          3. Chronic diarrhoea or gastrointestinal tract disease resulting in an inability to take
",196523,Diarrhea,diarrhoea,Diarrhoea
52,NCT03833700,diarrhea,"      6. Inability to take oral medication, or malabsorption syndrome or any other uncontrolled
             gastrointestinal condition (example: nausea, diarrhea, or vomiting) that might impair
     ",196523,Diarrhea,diarrhea,Diarrhea
53,NCT00275704,diarrhea,"levels and might have additive effects
             when used with antidiabetic drugs).

          -  Diagnosis of/problems with chronic diarrhea or history of bowel obstruction or
             esopha",196523,Diarrhea,diarrhea,Diarrhea
54,NCT00563823,diarrhea," limited to, any of the following
             conditions:

               -  Ulcerative disease

               -  Uncontrolled nausea

               -  Vomiting

               -  Diarrhea which mi",196523,Diarrhea,diarrhea,Diarrhea
55,NCT03739931,diarrhea,"ongestive heart failure, uncontrolled hypertension, unstable
             angina pectoris, cardiac arrhythmia, ILD, serious chronic gastrointestinal conditions
             associated with diarrhea, o",196523,Diarrhea,diarrhea,Diarrhea
56,NCT00295607,diarrhoea,"ngoing corticosteroid therapy.

          -  Patient has significant, uncontrolled concomitant infections and/or severe diarrhoea,
             vomiting, active upper gastro-intestinal tract malabsorp",196523,Diarrhea,diarrhoea,Diarrhoea
57,NCT03111511,diarrhea,"             Disease [MDRD] formula12), significant cardiac, vascular, pulmonary, gastrointestinal
             (such as significant diarrhea, gastric stasis, or constipation that in the
             ",196523,Diarrhea,diarrhea,Diarrhea
58,NCT00183248,diarrhea,"     3 times the upper value of the normal range within 28 days prior to study entry

          -  Uncontrolled concomitant infections, severe diarrhea, vomiting, active upper
             gastrointes",196523,Diarrhea,diarrhea,Diarrhea
59,NCT00540592,diarrhoea," a
             moderate or severe illness with or without fever. All vaccines can be administered to
             persons with a minor illness such as diarrhoea, mild upper respiratory infection with",196523,Diarrhea,diarrhoea,Diarrhoea
60,NCT03378999,chronic obstructive pulmonary disease,"al conditions that might interfere with the study, such as epilepsy,
             asthma, kidney failure or renal insufficiency, chronic obstructive pulmonary disease,
             inflammatory bowel ",255573,Chronic obstructive lung disease,chronic obstructive pulmonary disease,Scar emphysema
61,NCT03131752,chronic obstructive lung disease,"h genders, who are in a an exacerbation of the
             disease according to Global Initiative for Chronic Obstructive Lung Disease
             (GOLD,2015) refered by the doctors, hospitalized or",255573,Chronic obstructive lung disease,chronic obstructive lung disease,Scar emphysema
62,NCT00605891,chronic obstructive lung disease,"ional Heart Lung and Blood Institute/World Health Organization (NHLBI/WHO) Global
             Initiative for Chronic Obstructive Lung Disease (GOLD)

          -  Patient meets the following requirem",255573,Chronic obstructive lung disease,chronic obstructive lung disease,Scar emphysema
63,NCT00137007,chronic obstructive pulmonary disease,"         -  Bronchiectasis, bronchial obstruction or history of post-obstructive pneumonia
                  (this does not exclude patients with chronic obstructive pulmonary disease);

             ",255573,Chronic obstructive lung disease,chronic obstructive pulmonary disease,Scar emphysema
64,NCT02671942,chronic obstructive pulmonary disease,"   .(postbronchodilator ≤0.7,，and a postbronchodilator FEV1≤50% predicted);

          3. Has a history of chronic obstructive pulmonary disease (COPD) (according to Global
             Initiative for",255573,Chronic obstructive lung disease,chronic obstructive pulmonary disease,Scar emphysema
65,NCT03794856,chronic obstructive pulmonary disease," cord dysfunction (identified by abnormalities in spirometric
             flow-volume curves), clinically significant chronic obstructive pulmonary disease, or
             emphysema.

          -  P",255573,Chronic obstructive lung disease,chronic obstructive pulmonary disease,Scar emphysema
66,NCT03919422,chronic obstructive pulmonary disease,"nerve injury or phrenic nerve injury

          5. Multiple trauma

          6. Uncontrolled respiratory disease (severe chronic obstructive pulmonary disease,
             asthma, pulmonary infectio",255573,Chronic obstructive lung disease,chronic obstructive pulmonary disease,Scar emphysema
67,NCT00642694,chronic obstructive pulmonary disease,"         information, or evidence at examination; this includes severe sleep apnea, seizure
             disorder, or chronic obstructive pulmonary disease (COPD).

          -  Patient report or evid",255573,Chronic obstructive lung disease,chronic obstructive pulmonary disease,Scar emphysema
68,NCT02807675,chronic obstructive pulmonary disease,"medications to treat orthostatic hypotension (for example droxidopa, fludrocortisone),
             if they have severe dysautonomia

          -  have chronic obstructive pulmonary disease (COPD), as",255573,Chronic obstructive lung disease,chronic obstructive pulmonary disease,Scar emphysema
69,NCT02532647,chronic obstructive pulmonary disease,"               Examples may include poorly controlled diabetes or hypertension, moderate to
                  severe chronic obstructive pulmonary disease, active hepatitis, heart failure or
         ",255573,Chronic obstructive lung disease,chronic obstructive pulmonary disease,Scar emphysema
70,NCT00257075,affective disorder,"MADRS) at start of the study

        Exclusion Criteria:

          -  Patients who meet DSM-IV criteria for Schizoaffective Disorder or for rapid cycling

          -  with borderline or antisocial ",444100,Mood disorder,schizoaffective disorder,Acute depression
71,NCT00001247,affective disorder,"          -  Age 18 or older

          -  Male or female

          -  Diagnosis of Schizophrenia, Schizoaffective Disorder or Psychosis NOS. Subjects with
             other neuropsychiatric disorde",444100,Mood disorder,schizoaffective disorder,Acute depression
72,NCT01945333,affective disorder,"     1. Diagnostic and Statistical Manual-IV (DSM-IV) diagnosis of schizophrenia or
             schizoaffective disorder

          2. Age 18 to 65

          3. English speaking

          4. Psychi",444100,Mood disorder,schizoaffective disorder,Acute depression
73,NCT00271258,affective disorder,"stablished or known mental retardation

               -  Autistic disorders

               -  Established schizophrenia

               -  Schizoaffective disorders

          -  Somatic criteria:

",444100,Mood disorder,schizoaffective disorders,Acute depression
74,NCT00405535,affective disorder,"

          -  Active substance use disorder within the last 6 months

          -  Comorbid schizophrenia, schizoaffective disorder, bipolar disorder, tic disorder,
             Tourette Disorder, sc",444100,Mood disorder,schizoaffective disorder,Acute depression
75,NCT03801096,affective disorder,"and/or severe psychiatric disorder that would interfere with
             participation (i.e., Schizophrenia, Delusional Disorder, Schizoaffective Disorder,
             Bipolar Disorder, or a Mood Di",444100,Mood disorder,schizoaffective disorder,Acute depression
76,NCT01771627,affective disorder,"reated for a mental health problem like
                  major depression, bipolar disorder, dysthymia, or schizoaffective disorder?""

               -  ""Have you ever had serious thoughts of killing",444100,Mood disorder,schizoaffective disorder?,Acute depression
77,NCT00459550,affective disorder,"ndication to lumbar puncture.

          -  History or evidence of significant psychiatric illness such as schizophrenia or
             bipolar affective disorder or significant neurological disease ",444100,Mood disorder,affective disorder,Amuck
78,NCT03172533,affective disorder,"resent alcohol or drug abuse

          -  severe psychiatric disorders (axis I) according to the DSM V (such as bipolar
             affective disorder or schizophrenia) in addition to anorexia nervo",444100,Mood disorder,affective disorder,Amuck
79,NCT03345953,mood disorder,"        -  Any significant psychiatric illness (schizophrenia, bipolar disorder, severe
             depression, dementia, obsessive compulsive disorder...) or mood disorder, assessed by
             ",444100,Mood disorder,mood disorder,Amok
80,NCT00831220,inflammatory disease,"o needed invasive or non invasive mechanical
             ventilation

          -  Patients with other chronic inflammatory diseases.

          -  Patients with other acute or active chronic systemi",4027384,Inflammatory disorder,inflammatory diseases,Inflammatory acne
81,NCT00685373,inflammatory disease,"amilial Cold Autoinflammatory Syndrome, Muckle-Wells Syndrome or
             Neonatal Onset Multisystem Inflammatory Disease. Prior agreement between the
             Investigator and Novartis for st",4027384,Inflammatory disorder,autoinflammatory syndrome,Colon inflammation
82,NCT02767154,inflammatory disorder,"  Ongoing septicaemia

          -  Ongoing antithrombotic treatment other than acetylsalicylic acid

          -  Systemic inflammatory disorders treated with corticosteroids

          -  Not able t",4027384,Inflammatory disorder,inflammatory disorders,Inflammatory acne
83,NCT00737282,inflammatory disease," or expecting to become
             pregnant at any time during the study;

          -  Documented endometriosis, active pelvic inflammatory disease (PID), platelet
             dysfunction, or Von ",4027384,Inflammatory disorder,inflammatory disease,Inflammatory acne
84,NCT03917277,inflammatory disease,"          -  Age ≥ 18 years old

          -  Patient followed by the National reference center for autoinflammatory diseases and
             inflammatory amyloidosis (CeRéMAIA) at Tenon Hospital in ",4027384,Inflammatory disorder,autoinflammatory diseases,Colon inflammation
85,NCT01255956,inflammatory disease,"ntrast

          -  other diseases that may cause significant deterioration in long-term prognosis

          -  acute or chronic inflammatory diseases

          -  patients who are unwilling to con",4027384,Inflammatory disorder,inflammatory diseases,Inflammatory acne
86,NCT03304951,inflammatory disease,"r active pus from nose.

          -  Any sign of active ophthalmic disease, infection or inflammation including the
             presence of severe ocular surface inflammatory disease as determined b",4027384,Inflammatory disorder,inflammatory disease,Inflammatory acne
87,NCT00443339,inflammatory disease,"ia

          -  Creatinine level > 120% upper normal value for the center.

          -  Clinically significant systemic infection or chronic inflammatory disease (eg,
             rheumatoid arthrit",4027384,Inflammatory disorder,inflammatory disease,Inflammatory acne
88,NCT00596219,inflammatory disease,"       -  History of acute or chronic hepatic disorder or a significant bleeding disorder.

          -  History of chronic inflammatory disease (e.g. ulcerative colitis, Crohn's
             disease,",4027384,Inflammatory disorder,inflammatory disease,Inflammatory acne
89,NCT03807167,inflammatory disorder,"rs) criteria).

          -  Other neurological conditions (stroke, Parkinson's disease and seizures), severe and
             inflammatory disorders (ex: severe arthroses which limits movements, spon",4027384,Inflammatory disorder,inflammatory disorders,Inflammatory acne
90,NCT02255201,seizure disorder,"           -  bipolar disorder

               -  pulmonary disease (including current asthma)

               -  Parkinson's disease

               -  Seizure disorder

               -  unstable th",4029498,Seizure disorder,seizure disorder,Sleep seizure
91,NCT00953199,seizure disorder,"   Exclusion Criteria:

          -  Known sensitivity to lidocaine or contrast agent

          -  History of seizure disorder

          -  History of cardiac arrhythmia (tachyarrhythmia, bradyarrhy",4029498,Seizure disorder,seizure disorder,Sleep seizure
92,NCT03577171,seizure disorder,"ic agents,
             neuromuscular, musculoskeletal, or mucocutaneous conditions requiring frequent
             treatment, seizure disorders requiring treatment, or other medical conditions
      ",4029498,Seizure disorder,seizure disorders,Sleep seizure
93,NCT00118482,seizure disorder,"Another clinical need for fludrocortisone that cannot be met with other drugs

          -  A permanent pacemaker

          -  A seizure disorder

          -  A major chronic non cardiovascular dise",4029498,Seizure disorder,seizure disorder,Sleep seizure
94,NCT01064401,seizure disorder,"g or alcohol abuse (as defined by the Investigator) within the 2 years
             prior to randomization

          -  History of seizure disorder or unexplained blackouts OR history of a seizure wi",4029498,Seizure disorder,seizure disorder,Sleep seizure
95,NCT01279538,seizure disorder," Subject has uncontrolled intercurrent illness, including, but not limited to ongoing
             or active infection, any clinically significant cardiac disease, seizure disorder, or
             ps",4029498,Seizure disorder,seizure disorder,Sleep seizure
96,NCT00070343,seizure disorder,"
          -  Negative pregnancy test

          -  Fertile patients must use effective contraception

          -  No other significant medical disease

          -  No uncontrolled seizure disorder
",4029498,Seizure disorder,seizure disorder,Sleep seizure
97,NCT02028455,seizure disorder,"umented in order to be eligible.

        Patients must NOT have active clinically significant CNS dysfunction (including but not
        limited to such as uncontrolled seizure disorder, paresis, aph",4029498,Seizure disorder,seizure disorder,Sleep seizure
98,NCT00847600,seizure disorder,"clusion Criteria:

          1. Evidence of serious neurologic or endocrine disorder, for example severe head trauma,
             seizure disorder, dementia, Cushings disease, or thyroid disorder, me",4029498,Seizure disorder,seizure disorder,Sleep seizure
99,NCT03343626,seizure disorder,"ng excipients of the investigational vaccine or placebo).

          4. Has any history of progressive or severe neurologic disorder, seizure disorder or
             neuro-inflammatory disease (examp",4029498,Seizure disorder,seizure disorder,Sleep seizure
100,NCT02152566,left ventricular systolic dysfunction,"       -  Heart Failure from ischemic or non-ischemic dilated cardiomyopathy for ≥ 6 months

          -  Left ventricular systolic dysfunction (LVEF ≤45% by echocardiography performed within
        ",4047088,Left ventricular systolic dysfunction,left ventricular systolic dysfunction,Left ventricular systolic dysfunction
101,NCT01520610,left ventricular systolic dysfunction,"associated with ST-segment abnormalities and/or increased
             serum troponin level, 2) transient left ventricular systolic dysfunction, and 3) no
             coronary lesions related to the ",4047088,Left ventricular systolic dysfunction,left ventricular systolic dysfunction,Left ventricular systolic dysfunction
102,NCT01320007,left ventricular systolic dysfunction,"vol capable Device

          -  Previous hospital admission for decompensated heart failure

          -  Left ventricular systolic dysfunction (EF <50%)

          -  Currently compensated heart fai",4047088,Left ventricular systolic dysfunction,left ventricular systolic dysfunction,Left ventricular systolic dysfunction
103,NCT00409578,left ventricular systolic dysfunction,"          chemical structures.

          -  Presence of clinically overt heart failure

          -  Known evidence of left ventricular systolic dysfunction

          -  Percutaneous coronary interv",4047088,Left ventricular systolic dysfunction,left ventricular systolic dysfunction,Left ventricular systolic dysfunction
104,NCT01012414,left ventricular systolic dysfunction,"     hyperphosphatemia (≥ 5.5 mg/dL)

          -  Plan to initiate renal replacement therapy (dialysis) during the study

          -  History of left ventricular systolic dysfunction with an ejectio",4047088,Left ventricular systolic dysfunction,left ventricular systolic dysfunction,Left ventricular systolic dysfunction
105,NCT03470207,left ventricular systolic dysfunction,". The patient previously met diagnostic criteria for pulmonary hypertension of any cause.

        ii. Presence of significant left ventricular systolic dysfunction (defined by left
        ventricula",4047088,Left ventricular systolic dysfunction,left ventricular systolic dysfunction,Left ventricular systolic dysfunction
106,NCT02291237,left ventricular systolic dysfunction,"
          -  Known aortic valve stenosis (moderate or severe)

          -  Known coronary artery disease

          -  Left ventricular systolic dysfunction (ejection fraction < 50%)

          -  R",4047088,Left ventricular systolic dysfunction,left ventricular systolic dysfunction,Left ventricular systolic dysfunction
107,NCT01387191,left ventricular systolic dysfunction,"       -  Subjects with right cardiac failure during an acute exacerbation

          -  Subjects with severe left ventricular systolic dysfunction

          -  Subjects with serious left ventricular",4047088,Left ventricular systolic dysfunction,left ventricular systolic dysfunction,Left ventricular systolic dysfunction
108,NCT01572220,left ventricular systolic dysfunction,"ical
                       criteria

                    -  Acute decompensated congestive heart failure

                    -  Established severe left ventricular systolic dysfunction (left ventric",4047088,Left ventricular systolic dysfunction,left ventricular systolic dysfunction,Left ventricular systolic dysfunction
109,NCT00641134,left ventricular systolic dysfunction,"aine >IIb), metastatic cancer)

          -  Symptomatic (NYHA II-IV) chronic heart failure

          -  Moderate-to-severe left ventricular systolic dysfunction (left ventricular ejection
          ",4047088,Left ventricular systolic dysfunction,left ventricular systolic dysfunction,Left ventricular systolic dysfunction
110,NCT03368950,disability,"ng at the time of
             study

          -  Actively psychotic, having received a diagnosis of dementia or a learning disability

          -  Severe mental health difficulties based on judgeme",4052648,Disability,disability,Disability
111,NCT03589014,disability," events: intracerebral hemorrhage, stroke, permanent or
             transient focal deficits, seizures, disability or any other neurological symptom
             supposedly related to CCM;

         ",4052648,Disability,disability,Disability
112,NCT03732053,disability,"s Disease

          -  Older than 40 years of age

          -  Male and female

          -  Intellectual disability

          -  Cognitive impairment

          -  Able to do daily activities on h",4052648,Disability,disability,Disability
113,NCT00196573,disability,"s of conservative treatment. Failed conservative treatment will be
             defined as persistent pain and disability despite adequate non-operative management
             for 6 months. Non-opera",4052648,Disability,disability,Disability
114,NCT03826238,disability,"        -  abstinent during 15 to 90 days according to self-reports

          -  no severe upper limb motor disability.

          -  Older than 18 years old.

          -  abìlity to talk, understan",4052648,Disability,disability,Disability
115,NCT02119533,disability,"ave both eyes in order for
             the eye tracking data to be effective and significant.

          -  Any physical or mental injury or baseline disability rendering task completion
            ",4052648,Disability,disability,Disability
116,NCT00833989,disability,"eria:

          -  History of a previous symptomatic stroke within 3 months prior to study entry.

          -  Presence of significant disability prior to the current stroke. Significant disability
",4052648,Disability,disability,Disability
117,NCT02337244,disability,"sty based on physical exam and
             medical history, including diagnosis of severe knee pain and disability due to at
             least one of the following:

               -  rheumatoid art",4052648,Disability,disability,Disability
118,NCT00106886,disability," patient's ability to complete the study, such as: *history of alcohol or
             drug abuse, *psychiatric disorders, *senility, *severe physical disability, *illnesses
             including ter",4052648,Disability,disability,Disability
119,NCT01684293,learning disorder,"      hospitalization

          7. Currently symptomatic from attention-deficit/hyperactivity disorder (DSM-5 criteria)

          8. Any learning disorder, any type of dementia, any type of delirium",4085156,Developmental academic disorder,learning disorder,Learning disorder
