NCT_id,matched_string,manual_string,criteria_string,parent_concept_id,parent_concept_name,w.mod,severity_modifier,severity_term,pre_post,snomed_id,snomed_name,
NCT02858388,cleft palate,cleft lip and cleft palate,"sion Criteria:

          1. Outcomes of adenotonsillectomy

          2. Velo-palatal insufficiencies, cleft lip and cleft palate.

          3. Hearing loss of perceptual, and mixed type.

         ",135923,Cleft palate,FALSE,unmarked,,,66948001,Cleft palate with cleft lip (disorder),
NCT00422981,cleft palate,cleft palate,"harynx, except for surgical correction of the nasal septum or a ""broken
             nose"" at least 2 years previously, or surgical repair of cleft palate when <30 years
             of age.

        ",135923,Cleft palate,FALSE,N/A,,,N/A,N/A,
NCT04023825,cleft palate,cleft palate,"-  children between 5 months and 12 years old

          -  weight >5kg

          -  children undergoing cleft palate repair surgery with or without upper lip surgery

        Exclusion Criteria:

  ",135923,Cleft palate,FALSE,N/A,,,N/A,N/A,
NCT02435407,cleft palate,cleft palate,"ly significant)

        Exclusion Criteria:

          -  •A child who has an anatomical cause for feeding problems such as cleft palate or
             significant oromotor abnormality

            ",135923,Cleft palate,TRUE,unmarked,,,87979003,Cleft palate (disorder),
NCT01021397,cleft palate,cleft palate,"d
             topical antifungal agents are not excluded.

          -  Major congenital malformations, including congenital cleft palate, cytogenetic
             abnormalities, or serious chronic d",135923,Cleft palate,TRUE,unmarked,,,87979003,Cleft palate (disorder),
NCT02975310,cleft palate,cleft palate," not be able to complete the follow-up appointments/evaluations

          6. Have significant oral structural abnormalities, e.g. unrepaired cleft palate

          7. Septal deviation requiring corr",135923,Cleft palate,TRUE,unmarked,,,87979003,Cleft palate (disorder),
NCT03236194,cleft palate,cleft palate," a congenital anomaly or neonatal condition that significantly affects a
             newborn's feeding (e.g. cleft lip, cleft palate, metabolic disease)

          4. any major maternal morbidities a",135923,Cleft palate,TRUE,unmarked,,,87979003,Cleft palate (disorder),
NCT01623310,cleft palate,cleft palate,"onths before the screening visit

          -  Current, ongoing rhinitis medicamentosa (rebound rhinitis)

          -  Have significant oral structural abnormalities, eg, a cleft palate

          - ",135923,Cleft palate,TRUE,unmarked,,,87979003,Cleft palate (disorder),
NCT00766818,hypothyroidism,hypothyroidism,"tra® component

          -  Chronic hepatitis B and/or C virus infection

          -  Cushing's Syndrome

          -  Untreated hypothyroidism or hyperthyroidism

          -  Serum Creatinine > 1.",140673,Hypothyroidism,FALSE,unmarked,,,40930008,Hypothyroidism (disorder),
NCT02607254,hypothyroidism,hypothyroidism,"             symptomatic peripheral vascular disease including intermittent claudication,
             pernicious anemia, untreated hypothyroidism, venous insufficiency, or spinal stenosis.

         ",140673,Hypothyroidism,FALSE,unmarked,,,40930008,Hypothyroidism (disorder),
NCT02895087,hypothyroid,hypothyroidism," sleep disorder, Addison's disease, diabetes or thyroid/pituitary/adrenal/splenic
             disorder (note: corrected hypothyroid disorder may be allowed if recent Thyroid
             Stimulating ",140673,Hypothyroidism,FALSE,unmarked,,,40930008,Hypothyroidism (disorder),
NCT02023554,hypothyroidism,hypothyroidism,"h renal or hepatic dysfunction;

          -  patients with congestive heart failure;

          -  patients with hypothyroidism or hyperthyroidism;

          -  patients taking drugs likely to affec",140673,Hypothyroidism,FALSE,unmarked,,,40930008,Hypothyroidism (disorder),
NCT03817125,hypothyroidism,hypothyroidism,"trictive procedures such as
             banding, are permitted).

          7. Any diagnosis of autoimmune disease. Participants with Type I diabetes mellitus,
             hypothyroidism only requir",140673,Hypothyroidism,FALSE,unmarked,,,40930008,Hypothyroidism (disorder),
NCT02532335,hypothyroidism,hypothyroidism,"el surgery

        Inflammatory bowel disease

        Uncontrolled diabetes mellitus (fasting blood glucose >6.7 mmol/L), hypothyroidism or
        hyperthyroidism, or other significant endocrine di",140673,Hypothyroidism,TRUE,unmarked,,,40930008,Hypothyroidism (disorder),
NCT00796783,hypothyroidism,signficant hypothyroidism,"           as those with severe obesity, major depression or a history of alcoholism.

          -  Uncontrolled, clinically significant hypothyroidism or hyperthyroidism.

          -  Have renal fai",140673,Hypothyroidism,TRUE,severe,significant,,40930008,Hypothyroidism (disorder),
NCT01140997,hypothyroidism,,"rocess, history of
             significant pulmonary disease or any history of interstitial lung disease.

          -  History of hypothyroidism or current treatment for thyroid disease.

          ",140673,Hypothyroidism,TRUE,,,,,,
NCT03379012,hypothyroidism,,"er; 5. Normal PSA level

        Exclusion Criteria:

          1. Prostate and other cancers history

          2. Hypothyroidism

          3. History of serious cardiac arrhythmia, congestive heart",140673,Hypothyroidism,TRUE,,,,40930008,Hypothyroidism (disorder),
NCT01167127,hypothyroidism,,"th hypoxia and/or hypercapnia, severe obstructive pulmonary disease, cor
             pulmonale, severe bronchial asthma, paralytic ileus.

         15. Patients with myxodema, hypothyroidism, Addison",140673,Hypothyroidism,TRUE,,,,40930008,Hypothyroidism (disorder),
NCT03595553,diarrhea,," of age, at the time of signing the informed consent.

          2. Signs and symptoms of CDI including diarrhea such that in the Investigator's opinion
             CDI antimicrobial therapy is requi",196523,Diarrhea,FALSE,,,,5.891E+12,Clostridium difficile diarrhea (disorder),
NCT00998296,diarrhoea,,"   1. Active infectious disease

          2. Recent surgery within the last 4 weeks prior visit 1.

          3. Chronic diarrhoea or gastrointestinal tract disease resulting in an inability to take
",196523,Diarrhea,FALSE,,,,236071009,Chronic diarrhea (disorder),
NCT03833700,diarrhea,,"      6. Inability to take oral medication, or malabsorption syndrome or any other uncontrolled
             gastrointestinal condition (example: nausea, diarrhea, or vomiting) that might impair
     ",196523,Diarrhea,FALSE,,,,62315008,Diarrhea (finding),
NCT00275704,diarrhea,,"levels and might have additive effects
             when used with antidiabetic drugs).

          -  Diagnosis of/problems with chronic diarrhea or history of bowel obstruction or
             esopha",196523,Diarrhea,FALSE,,,,236071009,Chronic diarrhea (disorder),
NCT00563823,diarrhea,," limited to, any of the following
             conditions:

               -  Ulcerative disease

               -  Uncontrolled nausea

               -  Vomiting

               -  Diarrhea which mi",196523,Diarrhea,FALSE,,,,62315008,Diarrhea (finding),
NCT03739931,diarrhea,,"ongestive heart failure, uncontrolled hypertension, unstable
             angina pectoris, cardiac arrhythmia, ILD, serious chronic gastrointestinal conditions
             associated with diarrhea, o",196523,Diarrhea,TRUE,,,,62315008,Diarrhea (finding),
NCT00295607,diarrhoea,,"ngoing corticosteroid therapy.

          -  Patient has significant, uncontrolled concomitant infections and/or severe diarrhoea,
             vomiting, active upper gastro-intestinal tract malabsorp",196523,Diarrhea,TRUE,,,,409587002,Severe diarrhea (finding),
NCT03111511,diarrhea,,"             Disease [MDRD] formula12), significant cardiac, vascular, pulmonary, gastrointestinal
             (such as significant diarrhea, gastric stasis, or constipation that in the
             ",196523,Diarrhea,TRUE,,,,62315008,Diarrhea (finding),
NCT00183248,diarrhea,,"     3 times the upper value of the normal range within 28 days prior to study entry

          -  Uncontrolled concomitant infections, severe diarrhea, vomiting, active upper
             gastrointes",196523,Diarrhea,TRUE,,,,409587002,Severe diarrhea (finding),
NCT00540592,diarrhoea,," a
             moderate or severe illness with or without fever. All vaccines can be administered to
             persons with a minor illness such as diarrhoea, mild upper respiratory infection with",196523,Diarrhea,TRUE,,,,62315008,Diarrhea (finding),
NCT03378999,chronic obstructive pulmonary disease,,"al conditions that might interfere with the study, such as epilepsy,
             asthma, kidney failure or renal insufficiency, chronic obstructive pulmonary disease,
             inflammatory bowel ",255573,Chronic obstructive lung disease,FALSE,,,,13645005,Chronic obstructive lung disease (disorder),
NCT03131752,chronic obstructive lung disease,,"h genders, who are in a an exacerbation of the
             disease according to Global Initiative for Chronic Obstructive Lung Disease
             (GOLD,2015) refered by the doctors, hospitalized or",255573,Chronic obstructive lung disease,FALSE,,,,N/A,N/A,
NCT00605891,chronic obstructive lung disease,,"ional Heart Lung and Blood Institute/World Health Organization (NHLBI/WHO) Global
             Initiative for Chronic Obstructive Lung Disease (GOLD)

          -  Patient meets the following requirem",255573,Chronic obstructive lung disease,FALSE,,,,N/A,N/A,
NCT00137007,chronic obstructive pulmonary disease,,"         -  Bronchiectasis, bronchial obstruction or history of post-obstructive pneumonia
                  (this does not exclude patients with chronic obstructive pulmonary disease);

             ",255573,Chronic obstructive lung disease,FALSE,,,,N/A,N/A,
NCT02671942,chronic obstructive pulmonary disease,,"   .(postbronchodilator ≤0.7,，and a postbronchodilator FEV1≤50% predicted);

          3. Has a history of chronic obstructive pulmonary disease (COPD) (according to Global
             Initiative for",255573,Chronic obstructive lung disease,FALSE,,,,N/A,N/A,
NCT03794856,chronic obstructive pulmonary disease,," cord dysfunction (identified by abnormalities in spirometric
             flow-volume curves), clinically significant chronic obstructive pulmonary disease, or
             emphysema.

          -  P",255573,Chronic obstructive lung disease,TRUE,,,,13645005,Chronic obstructive lung disease (disorder),
NCT03919422,chronic obstructive pulmonary disease,,"nerve injury or phrenic nerve injury

          5. Multiple trauma

          6. Uncontrolled respiratory disease (severe chronic obstructive pulmonary disease,
             asthma, pulmonary infectio",255573,Chronic obstructive lung disease,TRUE,,,,313299006,Severe chronic obstructive pulmonary disease (disorder),
NCT00642694,chronic obstructive pulmonary disease,,"         information, or evidence at examination; this includes severe sleep apnea, seizure
             disorder, or chronic obstructive pulmonary disease (COPD).

          -  Patient report or evid",255573,Chronic obstructive lung disease,TRUE,,,,13645005,Chronic obstructive lung disease (disorder),
NCT02807675,chronic obstructive pulmonary disease,,"medications to treat orthostatic hypotension (for example droxidopa, fludrocortisone),
             if they have severe dysautonomia

          -  have chronic obstructive pulmonary disease (COPD), as",255573,Chronic obstructive lung disease,TRUE,,,,13645005,Chronic obstructive lung disease (disorder),
NCT02532647,chronic obstructive pulmonary disease,,"               Examples may include poorly controlled diabetes or hypertension, moderate to
                  severe chronic obstructive pulmonary disease, active hepatitis, heart failure or
         ",255573,Chronic obstructive lung disease,TRUE,,,,313299006,Severe chronic obstructive pulmonary disease (disorder),
NCT00671892,allergic rhinitis,,"   -  not an employee working for,or a student under the authority of the PI's

        Exclusion Criteria:

          -  allergic rhinitis past or present

          -  chronic illness resulting in a",257007,Allergic rhinitis,FALSE,,,,61582004,Allergic rhinitis (disorder),
NCT00682643,allergic rhinitis,,"cific IgE (such as RAST, PRIST) will not be allowed for the diagnosis
        of PAR.

        NOTE: Subjects who meet the above criteria and who also may have seasonal allergic rhinitis
        (SAR)",257007,Allergic rhinitis,FALSE,,,,367498001,Seasonal allergic rhinitis (disorder),
NCT00521040,allergic rhinitis,,"ion Criteria:

          -  male or female subjects ≥ 12 years

          -  2 year history of seasonal allergic rhinitis

          -  documented hypersensitivity to local seasonal allergens (grass p",257007,Allergic rhinitis,FALSE,,,,367498001,Seasonal allergic rhinitis (disorder),
NCT02727205,allergic rhinitis,,"        of Day 1 patch application.

         20. Reported a history of anaphylactic reaction to drugs. At the discretion of the
             Investigator, subjects with seasonal allergic rhinitis wit",257007,Allergic rhinitis,FALSE,,,,61582004,Allergic rhinitis (disorder),
NCT04103086,allergic rhinitis,,"   3. Prior history of heart failure.

          4. Prior history of atrial fibrillation.

          5. Prior history of allergic rhinitis, sinusitis, asthma and COPD.

          6. Deafness, mental i",257007,Allergic rhinitis,FALSE,,,,61582004,Allergic rhinitis (disorder),
NCT00239499,allergic rhinitis,,"a:

          -  Patients with significant diseases other than COPD.

          -  Patients with a history of asthma, allergic rhinitis or atopy or who have a total
             blood eosinophil count",257007,Allergic rhinitis,TRUE,,,,61582004,Allergic rhinitis (disorder),
NCT01529229,allergic rhinitis,,"sent of the patient or legal guardian;

          -  Clinical diagnosis of moderate - severe persistent allergic rhinitis according to the
             classification of ARIA (Allergic Rhinitis and It",257007,Allergic rhinitis,TRUE,,,,61582004,Allergic rhinitis (disorder),
NCT02953366,allergic rhinitis,,"     -  Signed Consent of the patient;

          -  Clinical diagnosis of moderate - severe persistent allergic rhinitis according to ARIA
             classification(Allergic Rhinitis and Its Impact",257007,Allergic rhinitis,TRUE,,,,61582004,Allergic rhinitis (disorder),
NCT01101022,allergic rhinitis,,"     ideation.

          3. The subject has a body mass index (BMI) of <18.5 or ≥40.

          4. Subject has a concurrent chronic or acute illness (such as severe allergic rhinitis or
             ",257007,Allergic rhinitis,TRUE,,,,61582004,Allergic rhinitis (disorder),
NCT02746042,allergic rhinitis,,"ate to severe co-morbid asthma, including allergic asthma

          5. Cystic fibrosis

          6. Perennial (e.g. patients with clinical symptoms of allergic rhinitis against house
             du",257007,Allergic rhinitis,TRUE,,,,61582004,Allergic rhinitis (disorder),
NCT01848769,exacerbation of asthma,,"ses of cardiovascular, renal or liver disease

          -  Known hypersensitivity to the active treatments

          -  Exacerbation of asthma symptoms within the previous 4 weeks

          -  Inab",257581,Exacerbation of asthma,FALSE,,,,281239006,Exacerbation of asthma (disorder),
NCT00521040,exacerbation of asthma,,"l allergens (grass pollen)

          -  documented pollen-induced asthma

          -  without acute ongoing exacerbation of asthma or allergic rhinitis

          -  no continuous ongoing treatment ",257581,Exacerbation of asthma,FALSE,,,,708038006,Acute exacerbation of asthma (disorder),
NCT01087515,exacerbation of asthma,,"thin the range 19-32 kg/m²

        Exclusion Criteria:

          -  History of lower respiratory tract infection and /or exacerbation of asthma within
             four weeks prior to the informed c",257581,Exacerbation of asthma,FALSE,,,,281239006,Exacerbation of asthma (disorder),
NCT00493090,exacerbation of asthma,,"         -  Using in excess of twelve beta2 agonists during a twelve month period and/or
             experiencing an acute exacerbation of asthma requiring oral steroids in the last 12
             m",257581,Exacerbation of asthma,FALSE,,,,708038006,Acute exacerbation of asthma (disorder),
NCT00748306,exacerbation of asthma,,"          Hypertension at screening is defined as persistent systolic BP >150 mmHg or diastolic
             BP > 90mmHg.

          4. Respiratory tract infection and/or exacerbation of asthma within",257581,Exacerbation of asthma,FALSE,,,,281239006,Exacerbation of asthma (disorder),
NCT01290874,exacerbation of asthma,,"         5. Pregnancy or lactation or an unwillingness to maintain effective birth control.

          6. History of a significant exacerbation of asthma or respiratory tract infection in the
        ",257581,Exacerbation of asthma,TRUE,,,,281239006,Exacerbation of asthma (disorder),
NCT00839124,exacerbation of asthma,,"     a person of moderate or severe persistent asthma as outlined in the current NHLBI
             guidelines for diagnosis and management of asthma.

          -  Exacerbation of asthma more than 2x",257581,Exacerbation of asthma,TRUE,,,,281239006,Exacerbation of asthma (disorder),
NCT00448851,exacerbation of asthma,," a person of moderate or severe persistent asthma as outlined in the current NHLBI
             guidelines for diagnosis and management of asthma.

         15. Exacerbation of asthma more than 2x/wee",257581,Exacerbation of asthma,TRUE,,,,281239006,Exacerbation of asthma (disorder),
NCT00839189,exacerbation of asthma,,"son of moderate or severe persistent asthma as outlined in the current NHLBI
             guidelines for diagnosis and management of asthma.

          -  Exacerbation of asthma more than 2x/week whic",257581,Exacerbation of asthma,TRUE,,,,281239006,Exacerbation of asthma (disorder),
NCT00287378,exacerbation of asthma,,"           a person of moderate or severe persistent asthma as outlined in the current NHLBI
             guidelines for diagnosis and management of asthma.

          -  Exacerbation of asthma more t",257581,Exacerbation of asthma,TRUE,,,,281239006,Exacerbation of asthma (disorder),
NCT03032757,hypertension,,"s such as: heart disease , metabolic disease such as phenylketonuria,
        rheumatoid arthritis, uncontrolled hypertension, poor lung function, or any health
        condition that might put the pa",316866,Hypertensive disorder,FALSE,,,,38341003,"Hypertensive disorder, systemic arterial (disorder)",
NCT02047656,hypertension,," to 80 years of age
             inclusive.

          -  Patients with mild-to-moderate uncomplicated essential hypertension

        Exclusion Criteria:

        Part 1

          -  History of hype",316866,Hypertensive disorder,FALSE,,,,38341003,"Hypertensive disorder, systemic arterial (disorder)",
NCT00375401,hypertension,," or = 30 kg/m2; > or = to 27 kg/m2 for those with
             obesity-related comorbidities including hypertension and dyslipidemia

        Exclusion Criteria:

          -  Pregnancy

          -  ",316866,Hypertensive disorder,FALSE,,,,38341003,"Hypertensive disorder, systemic arterial (disorder)",
NCT03865615,high blood pressure,,"ory, and/or physical exam performed
             or reviewed by the study physician.

          -  Severely low blood (< 90/50) pressure or uncontrolled high blood pressure (>160/100).

          -  S",316866,Hypertensive disorder,FALSE,,,,38341003,"Hypertensive disorder, systemic arterial (disorder)",
NCT00003928,hypertension,,"ine no greater than 1.5 mg/dL OR

          -  Creatinine clearance at least 60 mL/min

        Cardiovascular:

          -  No uncontrolled hypertension

          -  No myocardial infarction within",316866,Hypertensive disorder,FALSE,,,,38341003,"Hypertensive disorder, systemic arterial (disorder)",
NCT03650933,hypertension,,"of grade Ⅲ of Ⅳ
             according to the New York Heart Association(NYHA) system, or occurrence of myocardial
             infarction, unstable arrhythmia, unstable angina or severe hypertension ",316866,Hypertensive disorder,TRUE,,,,843841000000109,Severe hypertension,
NCT00655798,high blood pressure,,"significantly affect the study outcome, including
             diabetes (type 1 or 2) cardiovascular disease and hypothyroidemy

          4. High blood pressure (age <55 y: DBP > 100 or SBP >160 mm H",316866,Hypertensive disorder,TRUE,,,,38341003,"Hypertensive disorder, systemic arterial (disorder)",
NCT02801201,hypertension,,"gic contraindications:

          -  infection at the puncture site, systemic infection or severe sepsis

          -  intracranial hypertension

          -  uncompensated heart failure

          - ",316866,Hypertensive disorder,TRUE,,,,68267002,Benign intracranial hypertension (disorder),
NCT03882424,hypertension,,"pants on anticoagulant drugs, anemic or with known bleeding diatheses.

          -  Participants with a history of severe, uncontrolled hypertension, heart disease,
             cerebrovascular incid",316866,Hypertensive disorder,TRUE,,,,38341003,"Hypertensive disorder, systemic arterial (disorder)",
NCT03197623,hypertension,,"       ability to participate for the duration of the study, such as clinically significant
             cardiovascular disease, uncontrollable hypertension, uncontrolled asthma, symptomatic
         ",316866,Hypertensive disorder,TRUE,,,,38341003,"Hypertensive disorder, systemic arterial (disorder)",
NCT01779895,asthma,,"consent

        Exclusion Criteria:

          -  Anemia

          -  Allergy to any food or medication

          -  Asthma

          -  Family history of congenital immunodeficiency or chronic co",317009,Asthma,FALSE,,,,195967001,Asthma (disorder),
NCT00584636,asthma,,"teria:

        Patient is between the ages of 2 and 8

          -  Has previously been diagnosed with asthma by any physician

          -  Has presented to the ED with an asthma exacerbation judged",317009,Asthma,FALSE,,,,195967001,Asthma (disorder),
NCT03895411,bronchial asthma,,"tive in conventional treatment;

          2. Left ventricular ejection fraction (LVEF) ≤ 50%;

          3. Suffering from bronchial asthma;

          4. Resting sinus heart rate (HR) in newborns <9",317009,Asthma,FALSE,,,,195967001,Asthma (disorder),
NCT03396445,asthma,,"             (i.e., with use of disease-modifying agents, corticosteroids, or immunosuppressive
             drugs) except vitiligo or resolved childhood asthma/atopy.

          -  Known human immuno",317009,Asthma,FALSE,,,,233678006,Childhood asthma (disorder),
NCT02936817,asthma,,"ect who has undergone major surgery within 12 weeks of Visit 1 or has planned to
             undergo a major surgery before the end of the study.

         22. Subject with diagnosis of asthma.

    ",317009,Asthma,FALSE,,,,195967001,Asthma (disorder),
NCT00075569,asthma,,"standard therapy

        Pulmonary

          -  No significant respiratory disease that is uncontrolled with standard therapy

          -  No history of asthma

        Immunologic

          -  HI",317009,Asthma,TRUE,,,,195967001,Asthma (disorder),
