"NCT_id","matched_string","criteria_string","parent_concept_id","parent_concept_name","w.mod"
"NCT01865708","sepsis","n applicable) consent for enrollment.

        Exclusion Criteria:

          -  18 yo or older.

          -  Urosepsis at time of study enrollment

          -  Known bladder or genitourinary abnorm",132797,"Sepsis",FALSE
"NCT02370160","systemic infection","r infectious pulmonary parenchymal disease

          -  Presence of active CNS leukemia

          -  Presence of any uncontrolled systemic infection

          -  Documented uncontrolled seizure dis",132797,"Sepsis",FALSE
"NCT03737929","sepsis","    -  Contra-indication to transoesophageal echocardiogram (TEE)

          -  Carotid stenosis > 80%,

          -  Active infection or sepsis

          -  Pleural adhesions,

          -  Elevated",132797,"Sepsis",FALSE
"NCT02304978","sepsis","able angina or myocardial infarction in the acute phase (not older
             than two months)

          -  Severe sepsis (hospitalization)

          -  Cirrhosis stage Child C

          -  Chron",132797,"Sepsis",FALSE
"NCT01543022","systemic infection"," that will preclude insertion of the Symphony
             device.

         10. Moderate to severe aortic insufficiency (2+ or more).

         11. Ongoing systemic infection defined as two of the fo",132797,"Sepsis",TRUE
"NCT00758862","systemic infection","        Exclusion Criteria:

          -  Immunosuppressed state or other serious systemic disease

          -  Signs and/or symptoms of systemic infection, such as malaise and fever or local
       ",132797,"Sepsis",TRUE
"NCT03230916","sepsis"," been discontinued, or has received
             REL for any other reason.

          -  Has a current diagnosis of cystic fibrosis, meningitis, or severe sepsis.

          -  Is expected to survive ",132797,"Sepsis",TRUE
"NCT01687166","sepsis","nths) prior to enrollment

          -  Left atrial appendage closure device

          -  Any other significant uncontrolled or unstable medical condition (e.g. sepsis, acute
             metabolic i",132797,"Sepsis",TRUE
"NCT01078610","sepsis"," the drug or one of the other ingredients

          -  Active tuberculosis or other severe infections (e.g. sepsis and opportunistic
             infections)

          -  Moderate to severe cardiac ",132797,"Sepsis",TRUE
"NCT02432638","cleft palate","will include all infants regardless of syndromic diagnosis, other organ
             system abnormalities, cleft palate diagnosis or the presence of other concurrent
             craniofacial anomalie",135923,"Cleft palate",FALSE
"NCT03366740","cleft palate","     ICU support during the admission

          -  Birth defect like complex congenital heart diseases, cleft lip and cleft palate, Down
             syndrome and cerebral palsy and others that may i",135923,"Cleft palate",FALSE
"NCT02858388","cleft palate","sion Criteria:

          1. Outcomes of adenotonsillectomy

          2. Velo-palatal insufficiencies, cleft lip and cleft palate.

          3. Hearing loss of perceptual, and mixed type.

         ",135923,"Cleft palate",FALSE
"NCT00422981","cleft palate","harynx, except for surgical correction of the nasal septum or a ""broken
             nose"" at least 2 years previously, or surgical repair of cleft palate when <30 years
             of age.

        ",135923,"Cleft palate",FALSE
"NCT04023825","cleft palate","-  children between 5 months and 12 years old

          -  weight >5kg

          -  children undergoing cleft palate repair surgery with or without upper lip surgery

        Exclusion Criteria:

  ",135923,"Cleft palate",FALSE
"NCT02435407","cleft palate","ly significant)

        Exclusion Criteria:

          -  •A child who has an anatomical cause for feeding problems such as cleft palate or
             significant oromotor abnormality

            ",135923,"Cleft palate",TRUE
"NCT01021397","cleft palate","d
             topical antifungal agents are not excluded.

          -  Major congenital malformations, including congenital cleft palate, cytogenetic
             abnormalities, or serious chronic d",135923,"Cleft palate",TRUE
"NCT02975310","cleft palate"," not be able to complete the follow-up appointments/evaluations

          6. Have significant oral structural abnormalities, e.g. unrepaired cleft palate

          7. Septal deviation requiring corr",135923,"Cleft palate",TRUE
"NCT03236194","cleft palate"," a congenital anomaly or neonatal condition that significantly affects a
             newborn's feeding (e.g. cleft lip, cleft palate, metabolic disease)

          4. any major maternal morbidities a",135923,"Cleft palate",TRUE
"NCT01623310","cleft palate","onths before the screening visit

          -  Current, ongoing rhinitis medicamentosa (rebound rhinitis)

          -  Have significant oral structural abnormalities, eg, a cleft palate

          - ",135923,"Cleft palate",TRUE
"NCT00766818","hypothyroidism","tra® component

          -  Chronic hepatitis B and/or C virus infection

          -  Cushing's Syndrome

          -  Untreated hypothyroidism or hyperthyroidism

          -  Serum Creatinine > 1.",140673,"Hypothyroidism",FALSE
"NCT02607254","hypothyroidism","             symptomatic peripheral vascular disease including intermittent claudication,
             pernicious anemia, untreated hypothyroidism, venous insufficiency, or spinal stenosis.

         ",140673,"Hypothyroidism",FALSE
"NCT02895087","hypothyroid"," sleep disorder, Addison's disease, diabetes or thyroid/pituitary/adrenal/splenic
             disorder (note: corrected hypothyroid disorder may be allowed if recent Thyroid
             Stimulating ",140673,"Hypothyroidism",FALSE
"NCT02023554","hypothyroidism","h renal or hepatic dysfunction;

          -  patients with congestive heart failure;

          -  patients with hypothyroidism or hyperthyroidism;

          -  patients taking drugs likely to affec",140673,"Hypothyroidism",FALSE
"NCT03817125","hypothyroidism","trictive procedures such as
             banding, are permitted).

          7. Any diagnosis of autoimmune disease. Participants with Type I diabetes mellitus,
             hypothyroidism only requir",140673,"Hypothyroidism",FALSE
"NCT02532335","hypothyroidism","el surgery

        Inflammatory bowel disease

        Uncontrolled diabetes mellitus (fasting blood glucose >6.7 mmol/L), hypothyroidism or
        hyperthyroidism, or other significant endocrine di",140673,"Hypothyroidism",TRUE
"NCT00796783","hypothyroidism","           as those with severe obesity, major depression or a history of alcoholism.

          -  Uncontrolled, clinically significant hypothyroidism or hyperthyroidism.

          -  Have renal fai",140673,"Hypothyroidism",TRUE
"NCT01140997","hypothyroidism","rocess, history of
             significant pulmonary disease or any history of interstitial lung disease.

          -  History of hypothyroidism or current treatment for thyroid disease.

          ",140673,"Hypothyroidism",TRUE
"NCT03379012","hypothyroidism","er; 5. Normal PSA level

        Exclusion Criteria:

          1. Prostate and other cancers history

          2. Hypothyroidism

          3. History of serious cardiac arrhythmia, congestive heart",140673,"Hypothyroidism",TRUE
"NCT01167127","hypothyroidism","th hypoxia and/or hypercapnia, severe obstructive pulmonary disease, cor
             pulmonale, severe bronchial asthma, paralytic ileus.

         15. Patients with myxodema, hypothyroidism, Addison",140673,"Hypothyroidism",TRUE
"NCT03595553","diarrhea"," of age, at the time of signing the informed consent.

          2. Signs and symptoms of CDI including diarrhea such that in the Investigator's opinion
             CDI antimicrobial therapy is requi",196523,"Diarrhea",FALSE
"NCT00998296","diarrhoea","   1. Active infectious disease

          2. Recent surgery within the last 4 weeks prior visit 1.

          3. Chronic diarrhoea or gastrointestinal tract disease resulting in an inability to take
",196523,"Diarrhea",FALSE
"NCT03833700","diarrhea","      6. Inability to take oral medication, or malabsorption syndrome or any other uncontrolled
             gastrointestinal condition (example: nausea, diarrhea, or vomiting) that might impair
     ",196523,"Diarrhea",FALSE
"NCT00275704","diarrhea","levels and might have additive effects
             when used with antidiabetic drugs).

          -  Diagnosis of/problems with chronic diarrhea or history of bowel obstruction or
             esopha",196523,"Diarrhea",FALSE
"NCT00563823","diarrhea"," limited to, any of the following
             conditions:

               -  Ulcerative disease

               -  Uncontrolled nausea

               -  Vomiting

               -  Diarrhea which mi",196523,"Diarrhea",FALSE
"NCT03739931","diarrhea","ongestive heart failure, uncontrolled hypertension, unstable
             angina pectoris, cardiac arrhythmia, ILD, serious chronic gastrointestinal conditions
             associated with diarrhea, o",196523,"Diarrhea",TRUE
"NCT00295607","diarrhoea","ngoing corticosteroid therapy.

          -  Patient has significant, uncontrolled concomitant infections and/or severe diarrhoea,
             vomiting, active upper gastro-intestinal tract malabsorp",196523,"Diarrhea",TRUE
"NCT03111511","diarrhea","             Disease [MDRD] formula12), significant cardiac, vascular, pulmonary, gastrointestinal
             (such as significant diarrhea, gastric stasis, or constipation that in the
             ",196523,"Diarrhea",TRUE
"NCT00183248","diarrhea","     3 times the upper value of the normal range within 28 days prior to study entry

          -  Uncontrolled concomitant infections, severe diarrhea, vomiting, active upper
             gastrointes",196523,"Diarrhea",TRUE
"NCT00540592","diarrhoea"," a
             moderate or severe illness with or without fever. All vaccines can be administered to
             persons with a minor illness such as diarrhoea, mild upper respiratory infection with",196523,"Diarrhea",TRUE
"NCT03378999","chronic obstructive pulmonary disease","al conditions that might interfere with the study, such as epilepsy,
             asthma, kidney failure or renal insufficiency, chronic obstructive pulmonary disease,
             inflammatory bowel ",255573,"Chronic obstructive lung disease",FALSE
"NCT03131752","chronic obstructive lung disease","h genders, who are in a an exacerbation of the
             disease according to Global Initiative for Chronic Obstructive Lung Disease
             (GOLD,2015) refered by the doctors, hospitalized or",255573,"Chronic obstructive lung disease",FALSE
"NCT00605891","chronic obstructive lung disease","ional Heart Lung and Blood Institute/World Health Organization (NHLBI/WHO) Global
             Initiative for Chronic Obstructive Lung Disease (GOLD)

          -  Patient meets the following requirem",255573,"Chronic obstructive lung disease",FALSE
"NCT00137007","chronic obstructive pulmonary disease","         -  Bronchiectasis, bronchial obstruction or history of post-obstructive pneumonia
                  (this does not exclude patients with chronic obstructive pulmonary disease);

             ",255573,"Chronic obstructive lung disease",FALSE
"NCT02671942","chronic obstructive pulmonary disease","   .(postbronchodilator ≤0.7,，and a postbronchodilator FEV1≤50% predicted);

          3. Has a history of chronic obstructive pulmonary disease (COPD) (according to Global
             Initiative for",255573,"Chronic obstructive lung disease",FALSE
"NCT03794856","chronic obstructive pulmonary disease"," cord dysfunction (identified by abnormalities in spirometric
             flow-volume curves), clinically significant chronic obstructive pulmonary disease, or
             emphysema.

          -  P",255573,"Chronic obstructive lung disease",TRUE
"NCT03919422","chronic obstructive pulmonary disease","nerve injury or phrenic nerve injury

          5. Multiple trauma

          6. Uncontrolled respiratory disease (severe chronic obstructive pulmonary disease,
             asthma, pulmonary infectio",255573,"Chronic obstructive lung disease",TRUE
"NCT00642694","chronic obstructive pulmonary disease","         information, or evidence at examination; this includes severe sleep apnea, seizure
             disorder, or chronic obstructive pulmonary disease (COPD).

          -  Patient report or evid",255573,"Chronic obstructive lung disease",TRUE
"NCT02807675","chronic obstructive pulmonary disease","medications to treat orthostatic hypotension (for example droxidopa, fludrocortisone),
             if they have severe dysautonomia

          -  have chronic obstructive pulmonary disease (COPD), as",255573,"Chronic obstructive lung disease",TRUE
"NCT02532647","chronic obstructive pulmonary disease","               Examples may include poorly controlled diabetes or hypertension, moderate to
                  severe chronic obstructive pulmonary disease, active hepatitis, heart failure or
         ",255573,"Chronic obstructive lung disease",TRUE
"NCT00671892","allergic rhinitis","   -  not an employee working for,or a student under the authority of the PI's

        Exclusion Criteria:

          -  allergic rhinitis past or present

          -  chronic illness resulting in a",257007,"Allergic rhinitis",FALSE
"NCT00682643","allergic rhinitis","cific IgE (such as RAST, PRIST) will not be allowed for the diagnosis
        of PAR.

        NOTE: Subjects who meet the above criteria and who also may have seasonal allergic rhinitis
        (SAR)",257007,"Allergic rhinitis",FALSE
"NCT00521040","allergic rhinitis","ion Criteria:

          -  male or female subjects ≥ 12 years

          -  2 year history of seasonal allergic rhinitis

          -  documented hypersensitivity to local seasonal allergens (grass p",257007,"Allergic rhinitis",FALSE
"NCT02727205","allergic rhinitis","        of Day 1 patch application.

         20. Reported a history of anaphylactic reaction to drugs. At the discretion of the
             Investigator, subjects with seasonal allergic rhinitis wit",257007,"Allergic rhinitis",FALSE
"NCT04103086","allergic rhinitis","   3. Prior history of heart failure.

          4. Prior history of atrial fibrillation.

          5. Prior history of allergic rhinitis, sinusitis, asthma and COPD.

          6. Deafness, mental i",257007,"Allergic rhinitis",FALSE
"NCT00239499","allergic rhinitis","a:

          -  Patients with significant diseases other than COPD.

          -  Patients with a history of asthma, allergic rhinitis or atopy or who have a total
             blood eosinophil count",257007,"Allergic rhinitis",TRUE
"NCT01529229","allergic rhinitis","sent of the patient or legal guardian;

          -  Clinical diagnosis of moderate - severe persistent allergic rhinitis according to the
             classification of ARIA (Allergic Rhinitis and It",257007,"Allergic rhinitis",TRUE
"NCT02953366","allergic rhinitis","     -  Signed Consent of the patient;

          -  Clinical diagnosis of moderate - severe persistent allergic rhinitis according to ARIA
             classification(Allergic Rhinitis and Its Impact",257007,"Allergic rhinitis",TRUE
"NCT01101022","allergic rhinitis","     ideation.

          3. The subject has a body mass index (BMI) of <18.5 or ≥40.

          4. Subject has a concurrent chronic or acute illness (such as severe allergic rhinitis or
             ",257007,"Allergic rhinitis",TRUE
"NCT02746042","allergic rhinitis","ate to severe co-morbid asthma, including allergic asthma

          5. Cystic fibrosis

          6. Perennial (e.g. patients with clinical symptoms of allergic rhinitis against house
             du",257007,"Allergic rhinitis",TRUE
"NCT01848769","exacerbation of asthma","ses of cardiovascular, renal or liver disease

          -  Known hypersensitivity to the active treatments

          -  Exacerbation of asthma symptoms within the previous 4 weeks

          -  Inab",257581,"Exacerbation of asthma",FALSE
"NCT00521040","exacerbation of asthma","l allergens (grass pollen)

          -  documented pollen-induced asthma

          -  without acute ongoing exacerbation of asthma or allergic rhinitis

          -  no continuous ongoing treatment ",257581,"Exacerbation of asthma",FALSE
"NCT01087515","exacerbation of asthma","thin the range 19-32 kg/m²

        Exclusion Criteria:

          -  History of lower respiratory tract infection and /or exacerbation of asthma within
             four weeks prior to the informed c",257581,"Exacerbation of asthma",FALSE
"NCT00493090","exacerbation of asthma","         -  Using in excess of twelve beta2 agonists during a twelve month period and/or
             experiencing an acute exacerbation of asthma requiring oral steroids in the last 12
             m",257581,"Exacerbation of asthma",FALSE
"NCT00748306","exacerbation of asthma","          Hypertension at screening is defined as persistent systolic BP >150 mmHg or diastolic
             BP > 90mmHg.

          4. Respiratory tract infection and/or exacerbation of asthma within",257581,"Exacerbation of asthma",FALSE
"NCT01290874","exacerbation of asthma","         5. Pregnancy or lactation or an unwillingness to maintain effective birth control.

          6. History of a significant exacerbation of asthma or respiratory tract infection in the
        ",257581,"Exacerbation of asthma",TRUE
"NCT00839124","exacerbation of asthma","     a person of moderate or severe persistent asthma as outlined in the current NHLBI
             guidelines for diagnosis and management of asthma.

          -  Exacerbation of asthma more than 2x",257581,"Exacerbation of asthma",TRUE
"NCT00448851","exacerbation of asthma"," a person of moderate or severe persistent asthma as outlined in the current NHLBI
             guidelines for diagnosis and management of asthma.

         15. Exacerbation of asthma more than 2x/wee",257581,"Exacerbation of asthma",TRUE
"NCT00839189","exacerbation of asthma","son of moderate or severe persistent asthma as outlined in the current NHLBI
             guidelines for diagnosis and management of asthma.

          -  Exacerbation of asthma more than 2x/week whic",257581,"Exacerbation of asthma",TRUE
"NCT00287378","exacerbation of asthma","           a person of moderate or severe persistent asthma as outlined in the current NHLBI
             guidelines for diagnosis and management of asthma.

          -  Exacerbation of asthma more t",257581,"Exacerbation of asthma",TRUE
"NCT03032757","hypertension","s such as: heart disease , metabolic disease such as phenylketonuria,
        rheumatoid arthritis, uncontrolled hypertension, poor lung function, or any health
        condition that might put the pa",316866,"Hypertensive disorder",FALSE
"NCT02047656","hypertension"," to 80 years of age
             inclusive.

          -  Patients with mild-to-moderate uncomplicated essential hypertension

        Exclusion Criteria:

        Part 1

          -  History of hype",316866,"Hypertensive disorder",FALSE
"NCT00375401","hypertension"," or = 30 kg/m2; > or = to 27 kg/m2 for those with
             obesity-related comorbidities including hypertension and dyslipidemia

        Exclusion Criteria:

          -  Pregnancy

          -  ",316866,"Hypertensive disorder",FALSE
"NCT03865615","high blood pressure","ory, and/or physical exam performed
             or reviewed by the study physician.

          -  Severely low blood (< 90/50) pressure or uncontrolled high blood pressure (>160/100).

          -  S",316866,"Hypertensive disorder",FALSE
"NCT00003928","hypertension","ine no greater than 1.5 mg/dL OR

          -  Creatinine clearance at least 60 mL/min

        Cardiovascular:

          -  No uncontrolled hypertension

          -  No myocardial infarction within",316866,"Hypertensive disorder",FALSE
"NCT03650933","hypertension","of grade Ⅲ of Ⅳ
             according to the New York Heart Association(NYHA) system, or occurrence of myocardial
             infarction, unstable arrhythmia, unstable angina or severe hypertension ",316866,"Hypertensive disorder",TRUE
"NCT00655798","high blood pressure","significantly affect the study outcome, including
             diabetes (type 1 or 2) cardiovascular disease and hypothyroidemy

          4. High blood pressure (age <55 y: DBP > 100 or SBP >160 mm H",316866,"Hypertensive disorder",TRUE
"NCT02801201","hypertension","gic contraindications:

          -  infection at the puncture site, systemic infection or severe sepsis

          -  intracranial hypertension

          -  uncompensated heart failure

          - ",316866,"Hypertensive disorder",TRUE
"NCT03882424","hypertension","pants on anticoagulant drugs, anemic or with known bleeding diatheses.

          -  Participants with a history of severe, uncontrolled hypertension, heart disease,
             cerebrovascular incid",316866,"Hypertensive disorder",TRUE
"NCT03197623","hypertension","       ability to participate for the duration of the study, such as clinically significant
             cardiovascular disease, uncontrollable hypertension, uncontrolled asthma, symptomatic
         ",316866,"Hypertensive disorder",TRUE
"NCT01779895","asthma","consent

        Exclusion Criteria:

          -  Anemia

          -  Allergy to any food or medication

          -  Asthma

          -  Family history of congenital immunodeficiency or chronic co",317009,"Asthma",FALSE
"NCT00584636","asthma","teria:

        Patient is between the ages of 2 and 8

          -  Has previously been diagnosed with asthma by any physician

          -  Has presented to the ED with an asthma exacerbation judged",317009,"Asthma",FALSE
"NCT03895411","bronchial asthma","tive in conventional treatment;

          2. Left ventricular ejection fraction (LVEF) ≤ 50%;

          3. Suffering from bronchial asthma;

          4. Resting sinus heart rate (HR) in newborns <9",317009,"Asthma",FALSE
"NCT03396445","asthma","             (i.e., with use of disease-modifying agents, corticosteroids, or immunosuppressive
             drugs) except vitiligo or resolved childhood asthma/atopy.

          -  Known human immuno",317009,"Asthma",FALSE
"NCT02936817","asthma","ect who has undergone major surgery within 12 weeks of Visit 1 or has planned to
             undergo a major surgery before the end of the study.

         22. Subject with diagnosis of asthma.

    ",317009,"Asthma",FALSE
"NCT00075569","asthma","standard therapy

        Pulmonary

          -  No significant respiratory disease that is uncontrolled with standard therapy

          -  No history of asthma

        Immunologic

          -  HI",317009,"Asthma",TRUE
"NCT00895102","asthma","cancer (except basal cell carcinoma);

          -  clinically significant cardiovascular, respiratory (except mild asthma), renal,
             gastrointestinal, hematologic, neurologic, thyroid, or ",317009,"Asthma",TRUE
"NCT01425281","asthma"," and/or has known immunosuppressive or
             autoimmune disease (e.g. human immunodeficiency virus, systemic lupus erythematosus,
             rheumatoid arthritis, severe asthma requiring immu",317009,"Asthma",TRUE
"NCT00463567","asthma","ry disease, pulmonary tuberculosis, or clinically
             significant bronchiectasis

          -  Patients with a history of asthma (with further criteria)

          -  Patients with Type I or ",317009,"Asthma",TRUE
"NCT02614274","asthma","had a significant injury to the target joint within the past 12 months.

          4. Subject plans to have knee surgery in the next 2 months.

          5. Subject has had an asthma attack, hives, or",317009,"Asthma",TRUE
"NCT00548184","cardiomyopathy","traceptive method in women of
             child-bearing potential.

          -  Severe underlying chronic illness or disease.

          -  Cardiomyopathy or baseline LVEF less than 50%.

          ",321319,"Cardiomyopathy",FALSE
"NCT01031290","cardiomyopathy","er, schizophrenia, bipolar disorder, mania,
        or hypomania

        vii) History of myocardial infarction, angina, congestive heart failure, cardiomyopathy,
        stroke or transient ischemic ",321319,"Cardiomyopathy",FALSE
"NCT03057548","cardiomyopathy","tients with any corrected or uncorrected congenital heart disease

          -  Patients with a history of hypertrophic cardiomyopathy

          -  Patients with cardiomyopathy and a left ventricular",321319,"Cardiomyopathy",FALSE
"NCT01212094","cardiomyopathy"," risk of harm or
        prevent the patient from completing the study (such as, but not limited to cerebrovascular
        disease, ischemic cardiomyopathy, clotting disorder, brittle diabetes, neuro",321319,"Cardiomyopathy",FALSE
"NCT01092325","cardiomyopathy"," and 85
             years of age

          -  Have chronic Systolic HF due to primary/idiopathic dilated cardiomyopathy, coronary
             artery disease or hypertension, and stable for at least",321319,"Cardiomyopathy",FALSE
"NCT03065140","cardiomyopathy","    -  Presence of other significant concomitant heart diseases such as ischaemic, valvular,
             pericardial heart disease or cardiomyopathy, skeletal muscle disorders

          -  Healthy v",321319,"Cardiomyopathy",TRUE
"NCT00230230","cardiomyopathy","s
             participation in the study. In particular, diabetics, uncontrolled hypertensives, and
             subjects with clinically significant cardiomyopathy, prostatic hypertrophy, glaucoma,
",321319,"Cardiomyopathy",TRUE
"NCT02508623","cardiomyopathy","          -  significant coronary artery disease (angina NYHA III/IV), congestive heart failure
             (NYHA III/IV), relevant cardiomyopathy, history of myocardial infarct within the last
     ",321319,"Cardiomyopathy",TRUE
"NCT01416974","cardiomyopathy","hmia or unexplained syncope, not
             believed to be vasovagal in nature or due to dehydration

          -  History of severe non-ischemic cardiomyopathy with EF ≤20%

          -  Patients w",321319,"Cardiomyopathy",TRUE
"NCT00079443","cardiomyopathy","tributed to agents used in the study

          -  Impaired cardiac function: history of life threatening arrhythmias, MI within the
             preceding 6 months, severe CAD, cardiomyopathy, conges",321319,"Cardiomyopathy",TRUE
"NCT01718600","encephalopathy","tion.

          -  Patient has acute illness or unstable chronic illness (e.g. uncontrolled hypertension,
             hepatic encephalopathy, portal hypertension, ascites, and esophageal varices,
  ",372887,"Disorder of brain",FALSE
"NCT02564198","encephalopathy","lcers, fistulas or
             abscesses

          -  Active or recent history of hypertensive crisis or hypertensive encephalopathy

          -  Active non-healing wound or bone fracture

        ",372887,"Disorder of brain",FALSE
"NCT02990312","encephalopathy","     2. The following active opportunistic infections: Ongoing chronic infections such as
             progressive multifocal leukoencephalopathy (PML), disseminated cryptococcosis, chronic
          ",372887,"Disorder of brain",FALSE
"NCT01143246","encephalopathy","           an NSAID within the prior month (prescription or over the counter) is acceptable Note:
             Use of short-term (< 2 weeks) oral neomycin for acute encephalopathy is acceptable.

    ",372887,"Disorder of brain",FALSE
"NCT01546909","encephalopathy","vaccine components or to a vaccine
             containing the same substances

          -  Known personal history of encephalopathy, seizure disorder or progressive, evolving or
             unstabl",372887,"Disorder of brain",FALSE
"NCT03079167","encephalopathy","s than 7.00 OR base deficit greater than or equal to 12.0
                  mmol/L

          -  Moderate to severe encephalopathy, defined between one and six hours after birth by
             one or",372887,"Disorder of brain",TRUE
"NCT04045210","encephalopathy","s such as schizophrenia

          -  acute alcohol/substance intoxication or withdrawal

          -  severe metabolic encephalopathy

          -  patients on comfort care

          -  Patients not",372887,"Disorder of brain",TRUE
"NCT00147030","encephalopathy","r they meet the neurological
        abnormality entry criteria (B) by trained personnel:

        B. Moderate to severe encephalopathy, consisting of altered state of consciousness
        (lethargy,",372887,"Disorder of brain",TRUE
"NCT01059461","encephalopathy"," of moderate or severe
        HIE collected from his NICU's file. Criteria of neonatal asphyxia and encephalopathy
        according to the American College of Obstetricians and Gynecologist and Amer",372887,"Disorder of brain",TRUE
"NCT02640040","encephalopathy","    -  Patients are complicated with mental, neurological disorders (such as hypoxic-ischemic
             encephalopathy, epilepsy and dementia) or significant barriers to growth.

          -  Patie",372887,"Disorder of brain",TRUE
"NCT02612337","sensorineural hearing loss","t has experienced active vertigo during the lead-in period.

          -  Subject has documented asymmetric sensorineural hearing loss.

          -  Subject agrees to maintain their current treatment",374366,"Sensorineural hearing loss",FALSE
"NCT03664674","sensorineural hearing loss","t has experienced active vertigo during the lead-in period.

          -  Subject has documented asymmetric sensorineural hearing loss.

          -  Subject agrees to maintain their current treatment",374366,"Sensorineural hearing loss",FALSE
"NCT03897634","sensorineural hearing loss","2. Speak English as their primary language

          3. Normal or corrected to normal vision

          4. Sensorineural hearing loss with pure-tone thresholds 20-85 dB HL at octave frequencies
     ",374366,"Sensorineural hearing loss",FALSE
