parent_concept_id	parent_concept_name	parent_concept_code	concept_synonym_name
435796	Dehydration	34095006	Dehydration (disorder)
435796	Dehydration	34095006	Pure water depletion syndrome
435796	Dehydration	34095006	Dehydration
4287544	Manic bipolar I disorder	68569003	Manic bipolar I disorder (disorder)
4287544	Manic bipolar I disorder	68569003	Manic bipolar I disorder
4154283	Severe bipolar I disorder	371599001	Severe bipolar I disorder (disorder)
4154283	Severe bipolar I disorder	371599001	Severe bipolar I disorder
4041824	Receptive language delay	229736005	Receptive language delay
4041824	Receptive language delay	229736005	Developmental receptive language delay
4041824	Receptive language delay	229736005	Receptive developmental language delay
4041824	Receptive language delay	229736005	Receptive language delay (disorder)
4039748	Expressive language delay	229734008	Expressive language delay (disorder)
4039748	Expressive language delay	229734008	Expressive language delay
4039748	Expressive language delay	229734008	Expressive developmental language delay
4039748	Expressive language delay	229734008	Developmental expressive language delay
4299544	Acanthosis nigricans	402599005	Acanthosis nigricans
4299544	Acanthosis nigricans	402599005	Acanthosis nigricans (disorder)
4176947	Hereditary disorder of the integument	363185004	Hereditary disorder of the integument (disorder)
4176947	Hereditary disorder of the integument	363185004	Hereditary disorder of the integument
4041284	Functional finding	118228005	Functional finding (finding)
4041284	Functional finding	118228005	Functional observations
4041284	Functional finding	118228005	Functional finding
4178826	Hereditary disorder of musculoskeletal system	363212003	Hereditary disorder of musculoskeletal system
4178826	Hereditary disorder of musculoskeletal system	363212003	Hereditary disorder of musculoskeletal system (disorder)
4311402	Achondroplasia	86268005	Osteosclerosis congenita
4311402	Achondroplasia	86268005	Chondrodystrophia fetalis
4311402	Achondroplasia	86268005	Achondroplastic dwarfism
4311402	Achondroplasia	86268005	Achondroplasia
4311402	Achondroplasia	86268005	Achondroplastic dwarf
4311402	Achondroplasia	86268005	Achondroplasia (disorder)
4311402	Achondroplasia	86268005	Congenital osteosclerosis
4006473	Autosomal dominant hereditary disorder	11164009	Autosomal dominant hereditary disorder
4006473	Autosomal dominant hereditary disorder	11164009	AD - Autosomal dominant
4006473	Autosomal dominant hereditary disorder	11164009	Autosomal dominant hereditary disorder (disorder)
4168318	Genetic disorder carrier	47461006	Genetic disorder carrier
4168318	Genetic disorder carrier	47461006	Carrier of genetic disease
4168318	Genetic disorder carrier	47461006	Genetic disorder carrier (finding)
4168318	Genetic disorder carrier	47461006	Genetic disorder carrier
4168318	Genetic disorder carrier	47461006	Carrier of genetic disease
4168318	Genetic disorder carrier	47461006	Genetic disorder carrier (finding)
42872722	Severe major depression	450714000	Severe major depression
42872722	Severe major depression	450714000	Severe major depression (disorder)
4282316	Recurrent major depression	66344007	Recurrent major depression (disorder)
4282316	Recurrent major depression	66344007	Recurrent major depressive disorder
4282316	Recurrent major depression	66344007	Recurrent major depression
44788874	TAG score observations	199021000000107	TAG score observations
4092239	Seasonal affective disorder	247803002	Seasonal affective disorder
4092239	Seasonal affective disorder	247803002	Seasonal affective disorder (disorder)
4092239	Seasonal affective disorder	247803002	SAD - Seasonal affective disorder
4174575	Vulval intraepithelial neoplasia grade 3	276875006	Vulval intraepithelial neoplasia grade 3 (disorder)
4174575	Vulval intraepithelial neoplasia grade 3	276875006	Vulval intraepithelial neoplasia grade III
4174575	Vulval intraepithelial neoplasia grade 3	276875006	VIN - Vulval intraepithelial neoplasia grade 3
4174575	Vulval intraepithelial neoplasia grade 3	276875006	Severe dysplasia of vulva
4174575	Vulval intraepithelial neoplasia grade 3	276875006	Vulval intraepithelial neoplasia grade 3
4174575	Vulval intraepithelial neoplasia grade 3	276875006	VIN III - Vulval intraepithelial neoplasia grade III
255573	Chronic obstructive lung disease	13645005	Chronic airflow limitation
255573	Chronic obstructive lung disease	13645005	COLD - Chronic obstructive lung disease
255573	Chronic obstructive lung disease	13645005	Chronic obstructive pulmonary disease
255573	Chronic obstructive lung disease	13645005	Chronic obstructive lung disease
255573	Chronic obstructive lung disease	13645005	Chronic obstructive airway disease
255573	Chronic obstructive lung disease	13645005	COPD - Chronic obstructive pulmonary disease
255573	Chronic obstructive lung disease	13645005	Chronic obstructive lung disease (disorder)
255573	Chronic obstructive lung disease	13645005	CAL - Chronic airflow limitation
255573	Chronic obstructive lung disease	13645005	Chronic airway obstruction
255573	Chronic obstructive lung disease	13645005	CAFL - Chronic airflow limitation
255573	Chronic obstructive lung disease	13645005	COAD - Chronic obstructive airways disease
255573	Chronic obstructive lung disease	13645005	Chronic airflow obstruction
255573	Chronic obstructive lung disease	13645005	Chronic airway disease
255573	Chronic obstructive lung disease	13645005	Chronic irreversible airway obstruction
255573	Chronic obstructive lung disease	13645005	CAO - Chronic airflow obstruction
4085075	At risk - finding	281694009	Finding of at risk (finding)
4085075	At risk - finding	281694009	Finding of at risk
4085075	At risk - finding	281694009	Finding related to risk factor
4085075	At risk - finding	281694009	At risk state
4085075	At risk - finding	281694009	At risk - finding
44788874	TAG score observations	199021000000107	TAG score observations
4106092	Carrier of disorder	29679002	Carrier
4106092	Carrier of disorder	29679002	Carrier of disorder (finding)
4106092	Carrier of disorder	29679002	Carrier of disorder
4106092	Carrier of disorder	29679002	Carrier of disease
4106092	Carrier of disorder	29679002	Carrier
4106092	Carrier of disorder	29679002	Carrier of disorder (finding)
4106092	Carrier of disorder	29679002	Carrier of disorder
4106092	Carrier of disorder	29679002	Carrier of disease
4329704	Homozygote	22061001	Homozygote (finding)
4329704	Homozygote	22061001	Homozygote
44813318	[X]Recurrent depressive disorder	456601000000107	[X]Recurrent depressive disorder
432738	Chronic fatigue syndrome	52702003	Iceland disease
432738	Chronic fatigue syndrome	52702003	CFS - Chronic fatigue syndrome
432738	Chronic fatigue syndrome	52702003	ME - Myalgic encephalomyelitis
432738	Chronic fatigue syndrome	52702003	Myalgic encephalomyelitis
432738	Chronic fatigue syndrome	52702003	Myalgic encephalomyelitis syndrome
432738	Chronic fatigue syndrome	52702003	Chronic fatigue syndrome (disorder)
432738	Chronic fatigue syndrome	52702003	Benign myalgic encephalomyelitis
432738	Chronic fatigue syndrome	52702003	Chronic fatigue syndrome
46286026	Patient suffering from mental disorder under the Mental Health Act 1983	980071000000103	Patient suffering from mental disorder under the Mental Health Act 1983
4116337	Patient suffering from mental disorder under the MHA 1983	303000004	Patient suffering from mental disorder under the MHA 1983
4116337	Patient suffering from mental disorder under the MHA 1983	303000004	Patient suffering from mental disorder under the Mental Health Act 1983
4116337	Patient suffering from mental disorder under the MHA 1983	303000004	Patient suffering from mental disorder under the Mental Health Act 1983 (England and Wales)
4116337	Patient suffering from mental disorder under the MHA 1983	303000004	Patient suffering from mental disorder under the Mental Health Act 1983 (finding)
44795103	[X]Other mental retardation	401201000000109	[X]Other mental retardation
432898	Severe intellectual disability	40700009	Severe mental retardation (Intelligence Quotient 20-34)
432898	Severe intellectual disability	40700009	Severe mental retardation (I.Q. 20-34)
432898	Severe intellectual disability	40700009	Severe intellectual development disorder
432898	Severe intellectual disability	40700009	Severe intellectual disability (disorder)
432898	Severe intellectual disability	40700009	Severe mental handicap
432898	Severe intellectual disability	40700009	Severe intellectual disability
432898	Severe intellectual disability	40700009	Severe mental retardation (Intelligence Quotient 20-34)
432898	Severe intellectual disability	40700009	Severe mental retardation (I.Q. 20-34)
432898	Severe intellectual disability	40700009	Severe intellectual development disorder
432898	Severe intellectual disability	40700009	Severe intellectual disability (disorder)
432898	Severe intellectual disability	40700009	Severe mental handicap
432898	Severe intellectual disability	40700009	Severe intellectual disability
192367	Dysplasia of cervix	73391008	Dysplasia of cervix
192367	Dysplasia of cervix	73391008	Cervical dysplasia
192367	Dysplasia of cervix	73391008	Dysplasia of cervix uteri
192367	Dysplasia of cervix	73391008	Dysplasia of cervix (disorder)
433536	Severe pre-eclampsia	46764007	Severe pre-eclamptic toxaemia
433536	Severe pre-eclampsia	46764007	PET - Severe pre-eclamptic toxemia
433536	Severe pre-eclampsia	46764007	Severe pre-eclampsia (disorder)
433536	Severe pre-eclampsia	46764007	Severe proteinuric hypertension of pregnancy
433536	Severe pre-eclampsia	46764007	Severe pre-eclampsia
433536	Severe pre-eclampsia	46764007	Severe pre-eclamptic toxemia
433536	Severe pre-eclampsia	46764007	PET - Severe pre-eclamptic toxaemia
4085156	Developmental academic disorder	1855002	Developmental academic disorder
4085156	Developmental academic disorder	1855002	Learning disorder
4085156	Developmental academic disorder	1855002	General learning disability
4085156	Developmental academic disorder	1855002	Developmental disorder of scholastic skill
4085156	Developmental academic disorder	1855002	Learning disability
4085156	Developmental academic disorder	1855002	Developmental academic disorder (disorder)
4085156	Developmental academic disorder	1855002	Academic skill disorder
4205497	Lymphedema of limb	439500002	Lymphedema of limb
4205497	Lymphedema of limb	439500002	Lymphedema of limb (disorder)
4205497	Lymphedema of limb	439500002	Lymphoedema of limb
443350	Lower urinary tract symptoms	307541003	LUTS - Lower urinary tract symptoms
443350	Lower urinary tract symptoms	307541003	Lower urinary tract symptoms
443350	Lower urinary tract symptoms	307541003	Lower urinary tract symptoms (finding)
4090739	Nutritional disorder	2492009	Nutritional disease
4090739	Nutritional disorder	2492009	Malnutrition
4090739	Nutritional disorder	2492009	Disorder of nutrition
4090739	Nutritional disorder	2492009	Nutritional disorder
4090739	Nutritional disorder	2492009	Nutritional disorder (disorder)
435226	Bipolar affective disorder, current episode mixed	192362008	Bipolar affective disorder, current episode mixed
435226	Bipolar affective disorder, current episode mixed	192362008	Bipolar affective disorder, current episode mixed (disorder)
432285	Recurrent major depressive episodes	268621008	Recurrent major depressive episodes (disorder)
432285	Recurrent major depressive episodes	268621008	Recurrent major depressive episodes
437249	Recurrent manic episodes	191590005	Recurrent manic episodes
437249	Recurrent manic episodes	191590005	Recurrent manic episodes (disorder)
443237	Manic disorder, single episode	268619003	Manic disorder, single episode (disorder)
443237	Manic disorder, single episode	268619003	Manic disorder, single episode
436682	Moderate intellectual disability	61152003	Moderate mental retardation (I.Q. 35-49)
436682	Moderate intellectual disability	61152003	Moderate intellectual disability (disorder)
436682	Moderate intellectual disability	61152003	Moderate intellectual development disorder
436682	Moderate intellectual disability	61152003	Moderate mental retardation (Intelligence Quotient 35-49)
436682	Moderate intellectual disability	61152003	Moderate mental handicap
436682	Moderate intellectual disability	61152003	Moderate intellectual disability
432612	Mild intellectual disability	86765009	Mild intellectual disability (disorder)
432612	Mild intellectual disability	86765009	Mild mental retardation (I.Q. 50-70)
432612	Mild intellectual disability	86765009	Mild mental retardation (Intelligence Quotient 50-70)
432612	Mild intellectual disability	86765009	Mild intellectual disability
432612	Mild intellectual disability	86765009	Mild mental handicap
432612	Mild intellectual disability	86765009	Mild mental retardation, IQ in range 50-70
432612	Mild intellectual disability	86765009	Mild intellectual development disorder
44813318	[X]Recurrent depressive disorder	456601000000107	[X]Recurrent depressive disorder
439259	Single major depressive episode, severe, with psychosis	191604000	Single major depressive episode, severe, with psychosis (disorder)
439259	Single major depressive episode, severe, with psychosis	191604000	Single major depressive episode, severe, with psychosis
434911	Recurrent major depressive episodes, severe, with psychosis	191613003	Recurrent major depressive episodes, severe, with psychosis (disorder)
434911	Recurrent major depressive episodes, severe, with psychosis	191613003	Recurrent major depressive episodes, severe, with psychosis
432898	Severe intellectual disability	40700009	Severe mental retardation (Intelligence Quotient 20-34)
432898	Severe intellectual disability	40700009	Severe mental retardation (I.Q. 20-34)
432898	Severe intellectual disability	40700009	Severe intellectual development disorder
432898	Severe intellectual disability	40700009	Severe intellectual disability (disorder)
432898	Severe intellectual disability	40700009	Severe mental handicap
432898	Severe intellectual disability	40700009	Severe intellectual disability
44799915	[X]Mental and behavioural disorders associated with the puerperium, not elsewhere classified	454031000000104	[X]Mental and behavioural disorders associated with the puerperium, not elsewhere classified
438733	Profound intellectual disability	31216003	Profound intellectual development disorder
438733	Profound intellectual disability	31216003	Profound intellectual disability (disorder)
438733	Profound intellectual disability	31216003	Profound mental retardation (I.Q. below 20)
438733	Profound intellectual disability	31216003	Profound intellectual disability
438733	Profound intellectual disability	31216003	Profound mental handicap
438733	Profound intellectual disability	31216003	Profound mental retardation (Intelligence Quotient below 20)
4085075	At risk - finding	281694009	Finding of at risk (finding)
4085075	At risk - finding	281694009	Finding of at risk
4085075	At risk - finding	281694009	Finding related to risk factor
4085075	At risk - finding	281694009	At risk state
4085075	At risk - finding	281694009	At risk - finding
4152371	Stress and adjustment reaction	271952001	Stress and adjustment reaction
4152371	Stress and adjustment reaction	271952001	Stress and adjustment reaction (disorder)
432898	Severe intellectual disability	40700009	Severe mental retardation (Intelligence Quotient 20-34)
432898	Severe intellectual disability	40700009	Severe mental retardation (I.Q. 20-34)
432898	Severe intellectual disability	40700009	Severe intellectual development disorder
432898	Severe intellectual disability	40700009	Severe intellectual disability (disorder)
432898	Severe intellectual disability	40700009	Severe mental handicap
432898	Severe intellectual disability	40700009	Severe intellectual disability
44795872	[X]Unspecified mental retardation	410331000000103	[X]Unspecified mental retardation
436665	Bipolar disorder	13746004	MDI - Manic-depressive illness
436665	Bipolar disorder	13746004	Manic-depressive psychosis
436665	Bipolar disorder	13746004	Bipolar disorder
436665	Bipolar disorder	13746004	Bipolar disorder (disorder)
436665	Bipolar disorder	13746004	Bipolar affective disorder
436665	Bipolar disorder	13746004	Manic-depressive illness
374366	Sensorineural hearing loss	60700002	Sensory-neural deafness
374366	Sensorineural hearing loss	60700002	SNHL - Sensorineural hearing loss
374366	Sensorineural hearing loss	60700002	Sensorineural hearing loss
374366	Sensorineural hearing loss	60700002	Perceptive hearing loss
374366	Sensorineural hearing loss	60700002	Sensorineural deafness
374366	Sensorineural hearing loss	60700002	Sensorineural hearing loss (disorder)
374366	Sensorineural hearing loss	60700002	Neurosensory deafness
374366	Sensorineural hearing loss	60700002	Perceptive deafness
374366	Sensorineural hearing loss	60700002	PD - Perceptive deafness
374366	Sensorineural hearing loss	60700002	SND - Sensorineural deafness
374366	Sensorineural hearing loss	60700002	Sensory-neural hearing loss
316866	Hypertensive disorder	38341003	Hypertensive disorder, systemic arterial (disorder)
316866	Hypertensive disorder	38341003	High blood pressure
316866	Hypertensive disorder	38341003	Systemic arterial hypertension
316866	Hypertensive disorder	38341003	HT - Hypertension
316866	Hypertensive disorder	38341003	BP - High blood pressure
316866	Hypertensive disorder	38341003	Hypertensive vascular disease
316866	Hypertensive disorder	38341003	Hypertensive vascular degeneration
316866	Hypertensive disorder	38341003	HBP - High blood pressure
316866	Hypertensive disorder	38341003	HTN - Hypertension
316866	Hypertensive disorder	38341003	High blood pressure disorder
316866	Hypertensive disorder	38341003	Hypertensive disorder
316866	Hypertensive disorder	38341003	BP+ - Hypertension
316866	Hypertensive disorder	38341003	Hypertensive disorder, systemic arterial
316866	Hypertensive disorder	38341003	Hypertension
4152371	Stress and adjustment reaction	271952001	Stress and adjustment reaction
4152371	Stress and adjustment reaction	271952001	Stress and adjustment reaction (disorder)
4168318	Genetic disorder carrier	47461006	Genetic disorder carrier
4168318	Genetic disorder carrier	47461006	Carrier of genetic disease
4168318	Genetic disorder carrier	47461006	Genetic disorder carrier (finding)
4168318	Genetic disorder carrier	47461006	Genetic disorder carrier
4168318	Genetic disorder carrier	47461006	Carrier of genetic disease
4168318	Genetic disorder carrier	47461006	Genetic disorder carrier (finding)
4085075	At risk - finding	281694009	Finding of at risk (finding)
4085075	At risk - finding	281694009	Finding of at risk
4085075	At risk - finding	281694009	Finding related to risk factor
4085075	At risk - finding	281694009	At risk state
4085075	At risk - finding	281694009	At risk - finding
4084392	Wheeze - rhonchi	24612001	Wheeze - rhonchi
4084392	Wheeze - rhonchi	24612001	Rhonchus
4084392	Wheeze - rhonchi	24612001	Wheeze - rhonchi (finding)
4084392	Wheeze - rhonchi	24612001	Wheeze - rhonchi
4084392	Wheeze - rhonchi	24612001	Rhonchus
4084392	Wheeze - rhonchi	24612001	Wheeze - rhonchi (finding)
438067	Malaria	61462000	Paludism
438067	Malaria	61462000	Malaria
438067	Malaria	61462000	Plasmodiosis
438067	Malaria	61462000	Malaria (disorder)
195513	Carcinoma in situ of vagina	92791005	Cancer in situ of vagina
195513	Carcinoma in situ of vagina	92791005	Carcinoma in situ of vagina
195513	Carcinoma in situ of vagina	92791005	VAIN III - Vaginal intraepithelial neoplasia grade III
195513	Carcinoma in situ of vagina	92791005	Carcinoma in situ of vagina (disorder)
195513	Carcinoma in situ of vagina	92791005	VAIN - Vaginal intraepithelial neoplasia 3
195513	Carcinoma in situ of vagina	92791005	Vaginal intraepithelial neoplasia grade III
4288370	Severe visual impairment	397541004	Severe visual impairment
4288370	Severe visual impairment	397541004	Severe visual impairment (disorder)
4288370	Severe visual impairment	397541004	Severe visual impairment
4288370	Severe visual impairment	397541004	Severe visual impairment (disorder)
4110815	Sensorineural hearing loss, bilateral	194424005	Sensorineural hearing loss, bilateral
4110815	Sensorineural hearing loss, bilateral	194424005	Sensorineural hearing loss, bilateral (disorder)
4180159	Hereditary disorder of immune system	363138005	Hereditary disorder of immune system (disorder)
4180159	Hereditary disorder of immune system	363138005	Hereditary disorder of immune system
4263109	Congenital immunodeficiency disease	36138009	Congenital immunodeficiency disease (disorder)
4263109	Congenital immunodeficiency disease	36138009	Congenital immunodeficiency disease
40483560	Combined immunodeficiency disease	442459007	Combined immunodeficiency disease
40483560	Combined immunodeficiency disease	442459007	Combined immunodeficiency disease (disorder)
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes (disorder)
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes
439393	Pre-eclampsia	398254007	EPH - Edema, proteinuria and hypertension of pregnancy
439393	Pre-eclampsia	398254007	Pre-eclampsia
439393	Pre-eclampsia	398254007	Pre-eclampsia (disorder)
439393	Pre-eclampsia	398254007	PET - Pre-eclamptic toxaemia
439393	Pre-eclampsia	398254007	Proteinuric hypertension of pregnancy
439393	Pre-eclampsia	398254007	PET - Pre-eclamptic toxemia
439393	Pre-eclampsia	398254007	PE - Pre-eclampsia
439393	Pre-eclampsia	398254007	Pre-eclamptic toxaemia
439393	Pre-eclampsia	398254007	Pre-eclamptic toxemia
439393	Pre-eclampsia	398254007	Preeclampsia
439393	Pre-eclampsia	398254007	EPH - Oedema, proteinuria and hypertension of pregnancy
42872412	Severe mixed bipolar I disorder	271000119101	Severe mixed bipolar I disorder (disorder)
42872412	Severe mixed bipolar I disorder	271000119101	Severe mixed bipolar I disorder
4200385	Severe bipolar disorder without psychotic features	53049002	Severe bipolar disorder without psychotic features (disorder)
4200385	Severe bipolar disorder without psychotic features	53049002	Severe bipolar disorder without psychotic features
372887	Disorder of brain	81308009	Disorder of brain (disorder)
372887	Disorder of brain	81308009	Disorder of brain
372887	Disorder of brain	81308009	Encephalopathy
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes (disorder)
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes (disorder)
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes
375252	Disorder of eye	371405004	Disorder of eyeball
375252	Disorder of eye	371405004	Disorder of eye
375252	Disorder of eye	371405004	Disorder of eye proper (disorder)
375252	Disorder of eye	371405004	Disorder of globe
375252	Disorder of eye	371405004	Eye disorder
375252	Disorder of eye	371405004	Disorder of eye proper
375252	Disorder of eye	371405004	Disease of eyeball
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes (disorder)
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes (disorder)
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes
4042550	Blindness of one eye	22950006	Blind eye
4042550	Blindness of one eye	22950006	Blindness of one eye
4042550	Blindness of one eye	22950006	Blindness of one eye (disorder)
4042550	Blindness of one eye	22950006	Blindness, unilateral
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes (disorder)
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes
4184996	Birth asphyxia	413654009	Birth asphyxia
4184996	Birth asphyxia	413654009	Birth asphyxia (disorder)
439136	Asphyxia, in liveborn infant	28314004	Intrapartum foetal asphyxia
439136	Asphyxia, in liveborn infant	28314004	Intrapartum fetal asphyxia
439136	Asphyxia, in liveborn infant	28314004	Asphyxia neonatorum
439136	Asphyxia, in liveborn infant	28314004	Asphyxia, in liveborn infant (disorder)
439136	Asphyxia, in liveborn infant	28314004	Intrapartum asphyxia
439136	Asphyxia, in liveborn infant	28314004	Asphyxia, in liveborn infant
439136	Asphyxia, in liveborn infant	28314004	Neonatal asphyxia
4193169	Viral respiratory infection	312133006	Viral respiratory infection (disorder)
4193169	Viral respiratory infection	312133006	Viral respiratory infection
439676	Coronavirus infection	186747009	Coronavirus infection (disorder)
439676	Coronavirus infection	186747009	Coronavirus infection
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes (disorder)
4285598	Impairment level of both eyes	68777001	Impairment level of both eyes
4042550	Blindness of one eye	22950006	Blind eye
4042550	Blindness of one eye	22950006	Blindness of one eye
4042550	Blindness of one eye	22950006	Blindness of one eye (disorder)
4042550	Blindness of one eye	22950006	Blindness, unilateral
4195158	Severe bipolar disorder with psychotic features	4441000	Severe bipolar disorder with psychotic features (disorder)
4195158	Severe bipolar disorder with psychotic features	4441000	Severe bipolar disorder with psychotic features
42872413	Severe depressed bipolar I disorder	261000119107	Severe depressed bipolar I disorder (disorder)
42872413	Severe depressed bipolar I disorder	261000119107	Severe depressed bipolar I disorder
42872413	Severe depressed bipolar I disorder	261000119107	Severe depressed bipolar I disorder (disorder)
42872413	Severe depressed bipolar I disorder	261000119107	Severe depressed bipolar I disorder
4200385	Severe bipolar disorder without psychotic features	53049002	Severe bipolar disorder without psychotic features (disorder)
4200385	Severe bipolar disorder without psychotic features	53049002	Severe bipolar disorder without psychotic features
4327337	Severe major depression without psychotic features	75084000	Severe major depression without psychotic features
4327337	Severe major depression without psychotic features	75084000	Severe major depression without psychotic features (disorder)
43531624	Severe recurrent major depression	281000119103	Severe recurrent major depression
43531624	Severe recurrent major depression	281000119103	Severe recurrent major depression (disorder)
435226	Bipolar affective disorder, current episode mixed	192362008	Bipolar affective disorder, current episode mixed
435226	Bipolar affective disorder, current episode mixed	192362008	Bipolar affective disorder, current episode mixed (disorder)
440078	Bipolar affective disorder, current episode manic	191618007	Bipolar affective disorder, current episode manic (disorder)
440078	Bipolar affective disorder, current episode manic	191618007	Bipolar affective disorder, current episode manic
440078	Bipolar affective disorder, current episode manic	191618007	Manic-depressive - now manic
432284	Single major depressive episode	268620009	Single major depressive episode
432284	Single major depressive episode	268620009	Single major depressive episode (disorder)
42872411	Severe major depression, single episode	251000119105	Severe major depression, single episode
42872411	Severe major depression, single episode	251000119105	Severe major depression, single episode (disorder)
443237	Manic disorder, single episode	268619003	Manic disorder, single episode (disorder)
443237	Manic disorder, single episode	268619003	Manic disorder, single episode
42872412	Severe mixed bipolar I disorder	271000119101	Severe mixed bipolar I disorder (disorder)
42872412	Severe mixed bipolar I disorder	271000119101	Severe mixed bipolar I disorder
4195158	Severe bipolar disorder with psychotic features	4441000	Severe bipolar disorder with psychotic features (disorder)
4195158	Severe bipolar disorder with psychotic features	4441000	Severe bipolar disorder with psychotic features
444100	Mood disorder	46206005	Disorder of affect
444100	Mood disorder	46206005	Affective disorder
444100	Mood disorder	46206005	Mood disorder (disorder)
444100	Mood disorder	46206005	Mood disorder
437249	Recurrent manic episodes	191590005	Recurrent manic episodes
437249	Recurrent manic episodes	191590005	Recurrent manic episodes (disorder)
4250023	Severe major depression with psychotic features	73867007	Severe major depression with psychotic features
4250023	Severe major depression with psychotic features	73867007	Psychotic depression
4250023	Severe major depression with psychotic features	73867007	Severe major depression with psychotic features (disorder)
433536	Severe pre-eclampsia	46764007	Severe pre-eclamptic toxaemia
433536	Severe pre-eclampsia	46764007	PET - Severe pre-eclamptic toxemia
433536	Severe pre-eclampsia	46764007	Severe pre-eclampsia (disorder)
433536	Severe pre-eclampsia	46764007	Severe proteinuric hypertension of pregnancy
433536	Severe pre-eclampsia	46764007	Severe pre-eclampsia
433536	Severe pre-eclampsia	46764007	Severe pre-eclamptic toxemia
433536	Severe pre-eclampsia	46764007	PET - Severe pre-eclamptic toxaemia
4327337	Severe major depression without psychotic features	75084000	Severe major depression without psychotic features
4327337	Severe major depression without psychotic features	75084000	Severe major depression without psychotic features (disorder)
4282096	Major depression, single episode	36923009	Major depression, single episode
4282096	Major depression, single episode	36923009	Major depressive disorder, single episode
4282096	Major depression, single episode	36923009	Major depression, single episode (disorder)
4102603	Severe manic bipolar I disorder with psychotic features	28663008	Severe manic bipolar I disorder with psychotic features (disorder)
4102603	Severe manic bipolar I disorder with psychotic features	28663008	Severe manic bipolar I disorder with psychotic features
4102603	Severe manic bipolar I disorder with psychotic features	28663008	Severe bipolar I disorder, most recent episode manic, with psychotic features
4322477	Severe bipolar disorder with psychotic features, mood-congruent	70546001	Severe bipolar disorder with psychotic features, mood-congruent
4322477	Severe bipolar disorder with psychotic features, mood-congruent	70546001	Severe bipolar disorder with psychotic features, mood-congruent (disorder)
4129254	Neoplasm of trachea	126703006	Neoplasm of trachea (disorder)
4129254	Neoplasm of trachea	126703006	Tumour of trachea
4129254	Neoplasm of trachea	126703006	Neoplasm of trachea
4129254	Neoplasm of trachea	126703006	Tumor of trachea
