concept_id	concept_name	concept_code
444415	Carcinoma in situ of bronchus	92557009
4034842	Severe recurrent major depression with psychotic features, mood-incongruent	15193003
4029282	Severe systemic illness-induced cutaneous atrophy	238156001
4030102	Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent	13581000
4029420	Diabetic severe hyperglycemia	237621004
4006459	Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks	111490003
4006469	Reticular dysgenesis	111584000
4030856	Severe bipolar I disorder, single manic episode without psychotic features	14495005
4031048	Severe chronic ulcerative colitis	14311001
4034968	Recurrent severe hypoglycemia	237636001
4012422	Severe vertigo	103298005
4021466	Severe hereditary spherocytosis due to combined deficiency of spectrin AND ankyrin	10564005
443797	Severe manic bipolar I disorder without psychotic features	162004
4031170	Severe systemic illness tissue wasting	238153009
4031171	Severe systemic illness-induced skeletal muscle wasting	238154003
4031928	Severe mixed bipolar I disorder with psychotic features, mood-incongruent	10875004
4000165	Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent	19300006
4045263	Severe bipolar II disorder, most recent episode major depressive, in full remission	12969000
4054913	Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks	19766004
4032345	Severe hyperemesis gravidarum	129598007
4029879	Arylsulfatase A deficiency	238031009
4030770	No significant change since previous mammogram	129723006
4050225	Severe multi tissue damage lower arm	210557006
4050230	Severe multi tissue damage hand	210574006
4049502	Dengue hemorrhagic fever	20927009
4047511	Severe bone marrow hyperplasia	123727000
4053146	Severe multi tissue damage foot	210724006
4031286	Severe systemic illness-induced intestinal villous atrophy	238155002
4059358	Severe dyskaryosis on cervical smear cannot exclude invasive carcinoma	168406009
4050527	Severe multi tissue damage lower leg	210704007
4043550	Severe myoclonic epilepsy in infancy	230437002
4052979	Severe multi tissue damage upper arm	210528007
4051395	Severe steroid 21-hydroxylase deficiency	15991002
4051448	Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent	20960007
4056830	Severe hereditary factor VIII deficiency disease	16872008
4067409	Severe major depression, single episode, with psychotic features, mood-incongruent	20250007
4088744	Severe adrenal insufficiency	24867002
4057976	Severe pre-eclampsia with postnatal complication	198986005
4056306	Severe multi tissue damage hip or thigh	210679005
4078430	Severe systemic illness-induced respiratory muscle wasting	276230003
4058745	Cervical smear - severe inflammation	168416001
4064990	Lung function significantly obstructed	165021009
4059038	Disability - severe	161045001
4062835	O/E - significantly deaf	164061000
4096098	Lymphopenic agammaglobulinemia - short-limbed dwarfism syndrome	25109007
4098948	Cervical intraepithelial neoplasia grade III with severe dysplasia	252991009
4097998	Severe combined immunodeficiency with reticular dysgenesis	190996002
4082315	Idiopathic infantile hypercalcemia - severe form	277481003
4101448	Severe combined immunodeficiency with low or normal B-cell numbers	190998001
4094507	Severe depressed bipolar I disorder with psychotic features, mood-incongruent	26203008
4102603	Severe manic bipolar I disorder with psychotic features	28663008
4109118	Better eye: severe visual impairment, Lesser eye: profound visual impairment	193716005
4109126	Lesser eye: severe visual impairment, Better eye: near normal vision	193748009
4109178	Dysplasias with significant membranous bone involvement	254094003
4109188	Oculodento-osseous dysplasia - severe type	254138001
4109559	Better eye: severe visual impairment, Lesser eye: severe visual impairment	193725004
4109563	Lesser eye: severe visual impairment, Better eye: normal vision	193749001
4127074	Androgen resistance - infertile male	236798003
4127553	Chronic rejection of renal transplant - grade III	236581001
4104390	Better eye: moderate visual impairment, Lesser eye: severe visual impairment	193727007
4103738	Better eye: severe visual impairment, Lesser eye: total visual impairment	193714008
4120635	Severe combined immunodeficiency with maternofetal engraftment	234570002
4111328	Craniometaphyseal dysplasia - severe type	254134004
4121417	Severe birth asphyxia, APGAR 0-3	287985008
4109930	Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks	1816003
4141603	Severe manic bipolar I disorder with psychotic features, mood-incongruent	33380008
4100975	Autosomal recessive severe combined immunodeficiency	190993005
4143602	Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks	34116005
4146367	Sialic acid storage disease, severe infantile type	34566007
4100976	Severe combined immunodeficiency with low T- and B-cell numbers	190997006
4142350	SCID due to absent peripheral T cell maturation	3439009
4143622	Severe myopia	34187009
4113739	Severe ichthyoses	254159008
4132144	Severe mood disorder with psychotic features	26516009
4131027	Severe bipolar disorder with psychotic features, mood-incongruent	26530004
4138164	Severely limited jaw protrusion	425896005
4155798	Severe bipolar disorder	371600003
4154283	Severe bipolar I disorder	371599001
4161455	Significant coronary bypass graft disease	371805005
4145356	Severe persistent asthma	426656000
4144233	Severe major depression with psychotic features, mood-congruent	33736005
4141292	Severe recurrent major depression with psychotic features, mood-congruent	33078009
4147991	Severe bipolar II disorder, most recent episode major depressive with psychotic features	30520009
4151556	Cervical smear - severe dyskaryosis	269960002
4129184	Severe postnatal depression	237350002
4146608	Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks	30059008
4155020	Mild intimal coronary irregularities without significant stenoses	371861004
4129843	Severe postnatal psychosis	237352005
4172671	Severe childhood autosomal recessive muscular dystrophy	277373000
4161200	Severe bipolar II disorder	371604007
4162095	Macular edema not clinically significant with diabetes mellitus	399864000
4160791	Severe thrombus	373143004
4149321	Severe depression	310497006
4153452	Severe birth asphyxia - apgar score less than 4 at 1 minute	268829008
4152913	Severe asthma	370221004
4172871	Severe transient tachypnea of newborn	276532007
4163402	SCID due to absent IL-2 production	45390000
4154309	Severe recurrent major depression with psychotic features	28475009
4164632	Very severe proliferative diabetic retinopathy	399865004
4162728	Severe hypokinesis of cardiac wall	371870001
4169261	Severe sinus bradycardia	49044005
4205667	Severe biliary tract dysplasia	308864005
4205668	Severe pancreatic duct dysplasia	308868008
4174575	Vulval intraepithelial neoplasia grade 3	276875006
4182998	Severe depressed bipolar I disorder with psychotic features, mood-congruent	54761006
4177663	SCID due to absent T cell receptor	49555001
4205664	Severe esophageal dysplasia	308860001
4176571	Severe crushing injury of abdominal organs	48944001
4182119	Panic disorder without agoraphobia with severe panic attacks	43150009
4179989	Autosomal recessive SCID	362993009
4195494	Visually significant corneal scar	314005007
4183718	Pericarditis associated with severe chronic anemia	43742007
4195158	Severe bipolar disorder with psychotic features	4441000
4200385	Severe bipolar disorder without psychotic features	53049002
4203915	Classical maple syrup urine disease	54064006
4204027	Severe stomach dysplasia	308856004
4204032	Severe dysplasia of rectum	308879003
4204708	Panic disorder with agoraphobia AND severe panic attacks	5509004
4202471	Severe dysplasia of colon	308873002
4209097	Severe chronic obstructive pulmonary disease	313299006
4209366	Severe hereditary factor IX deficiency disease with inhibitor	440866009
4236296	GDS level 6 - severe cognitive decline	407634002
4236297	GDS level 7 - very severe cognitive decline	407635001
4195046	Clinically significant macular edema	312911008
4188224	Severe x-linked myotubular myopathy	46804001
4223035	Borg Breathlessness Score: 4 somewhat severe	401282007
4223036	Borg Breathlessness Score: 5 severe	401284008
4223037	Borg Breathlessness Score: 7 very severe	401290007
4223038	Borg Breathlessness Score: 8 very severe	401291006
4223217	Severe hypothyroidism	83986005
4230765	Acute cellular graft rejection	40442005
4221962	Very severe nonproliferative diabetic retinopathy with no macular edema	399863006
4239453	Severe mood disorder with psychotic features, mood-congruent	58647003
4238503	Maroteaux-Lamy syndrome, severe form	58263000
4243153	Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission	38328002
4217940	Severe bipolar II disorder, most recent episode major depressive without psychotic features	81319007
4216841	SCID due to absent class II HLA antigens	71904008
4233045	GDS level 5 - moderately severe cognitive decline	407633008
4233565	Severe protein-calorie malnutrition	360549009
4217281	Curling's ulcers	39755000
4259713	Severe hereditary factor VIII deficiency disease without inhibitor	440993008
4214746	Severe anxiety	80583007
4248125	Severe crushing injury of abdominal organs without open wound into cavity	72739001
4220617	Severe bipolar I disorder, single manic episode with psychotic features	41832009
4220640	Borg Breathlessness Score: 6 severe	401286005
4220641	Borg Breathlessness Score: 9 very, very severe	401292004
4252417	Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in partial remission	74010007
4262272	Severe bipolar II disorder, most recent episode major depressive, in remission	35722002
4263378	pT3: Significant invasion of the optic nerve and/or optic coats	396966001
4247774	Hunter's syndrome, severe form	73146005
4269870	Non-high-risk proliferative diabetic retinopathy with clinically significant macular edema	399875001
4269871	Very severe nonproliferative diabetic retinopathy	399876000
4242565	Anticipatory anxiety, severe	5874002
4242734	Powerlessness, severe	59602008
4246992	Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks	61212007
4243822	Severe major depression with psychotic features, mood-incongruent	60099002
4247409	Severe crushing injury of abdominal organs with open wound into cavity	60464005
4230148	Severe hereditary factor VIII deficiency disease with inhibitor	438373005
4248811	Healthcare associated severe acute respiratory syndrome	408688009
4249551	Severe diarrhea	409587002
4250023	Severe major depression with psychotic features	73867007
4261944	Severe hereditary factor IX deficiency disease without inhibitor	441190003
4288370	Severe visual impairment	397541004
4266042	Proliferative diabetic retinopathy - high risk with clinically significant macular edema	399874002
4268894	Acute megaloblastic anemia due to severe illness	62389006
4276347	Mucopolysaccharidosis, MPS-I-H	65327002
4276670	Severe mixed bipolar I disorder with psychotic features, mood-congruent	64731001
4283219	Severe bipolar II disorder, most recent episode major depressive, in partial remission	67002003
4288156	Ozena	69646003
4290822	Severe nonproliferative diabetic retinopathy with clinically significant macular edema	399872003
4290823	Very severe nonproliferative diabetic retinopathy with clinically significant macular edema	399877009
4266637	Severe nonproliferative diabetic retinopathy with no macular edema	399873008
4289831	SCID due to absent adenosine deaminase	36980009
4309492	Severe multiple injuries	213389000
4307510	Ehlers-Danlos syndrome, type 1	83470009
4289751	Severe mood disorder with psychotic features, mood-incongruent	70043001
4307664	Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks	83631006
4312736	Severe bipolar I disorder, single manic episode with psychotic features, mood-incongruent	86058007
4266511	Mannosidosis, type I	62311004
4299785	Severe major depression, single episode, with psychotic features, mood-congruent	77911002
4296746	Severe pain	76948002
4298813	Severe hereditary spherocytosis due to spectrin deficiency	77413008
4322477	Severe bipolar disorder with psychotic features, mood-congruent	70546001
4330845	SCID due to absent lymphoid stem cells	22406001
4327337	Severe major depression without psychotic features	75084000
4344043	Severe autosomal recessive muscular dystrophy of childhood - North African type	240056002
4048668	Severe cytopenia	123722006
4347293	Severe systemic illness respiratory muscle fatigue	240130007
4345565	Severe scapuloperoneal muscular dystrophy with cardiomyopathy	240077004
4246981	No significant drug interactions	408358005
40438556	Addisonian crisis	237757001
40432390	X-linked severe combined immunodeficiency	234569003
40426692	[X]Evidence of alcohol involvement determined by level of intoxication, severe alcohol intoxication	223347009
40426693	[X]Evidence of alcohol involvement determined by level of intoxication, very severe alcohol intoxication	223348004
40404993	White asphyxia	206276007
40401443	Infantile malignant osteopetrosis	205502002
40389580	[X]Unspecified severe protein-energy malnutrition	191078000
40398219	Painful menstruation	198404001
40390883	Congenital agranulocytosis NEC	191342002
40389152	Morbid obesity	190967003
40389237	[X]Unspecified mental retardation, significant impairment of behaviour requiring attention or treatment	192559006
40390118	Metachromatic leukodystrophy	192784006
40398180	[X]Severe vaginal dysplasia, not elsewhere classified	198370008
40398208	[X]Severe vulvar dysplasia, not elsewhere classified	198395009
40389182	Severe combined immunodeficiency	190994004
40389198	Severe combined immunodeficiency with short-limbed dwarfism	191007006
40389210	[X]Mild mental retardation, significant impairment of behaviour requiring attention or treatment	192534002
40389215	[X]Moderate mental retardation, significant impairment of behaviour requiring attention or treatment	192539007
40389219	Severe mental retardation, IQ in range 20-34	192542001
40389220	[X]Severe mental retardation with the statement of no, or minimal, impairment of behavior	192543006
40389221	[X]Severe mental retardation, significant impairment of behaviour requiring attention or treatment	192544000
40389222	[X]Severe mental retardation, other impairments of behavior	192545004
40389223	[X]Severe mental retardation without mention of impairment of behaviour	192546003
40389226	[X]Profound mental retardation, significant impairment of behaviour requiring attention or treatment	192549005
40389232	[X]Other mental retardation, significant impairment of behaviour requiring attention or treatment	192554001
40387708	Marasmic kwashiorkor	190596005
40387710	[X]Unspecified severe protein-energy malnutrition	190598006
40394323	PET - Severe pre-eclamptic toxaemia	198981000
40392486	[X]Severe vaginal dysplasia, not elsewhere classified	198601000
40392487	[X]Severe vulvar dysplasia, not elsewhere classified	198602007
40398152	[X]Severe cervical dysplasia, not elsewhere classified	198344007
40388783	[X] Mental and behavioral disorders associated with the puerperium: [severe, not elsewhere classified] or [puerperal psychosis NOS]	192477004
40380307	[X]Other severe and complicated plasmodium falciparum malaria	187503005
40399170	[X]Severe cervical dysplasia, not elsewhere classified	198600004
40388271	[X]Severe depressive episode without psychotic symptoms	192369004
40388272	[X] Single episode of psychotic depression	192370003
40370158	Ozaena	284185003
40388260	[X]Bipolar affective disorder, current episode severe depression without psychotic symptoms	192359005
40388263	Bipolar affective disorder, currently depressed, severe, with psychosis	192361001
40386124	Better eye: severe visual impairment, Lesser eye: near total visual impairment	193715009
40395887	Status asthmaticus NOS	195980003
40395907	Severe chronic obstructive pulmonary disease	195998004
40387315	Addisonian crisis	190522002
40387319	Addisonian crisis	190526004
40355721	Severe hyperemesis gravidarum	270539008
40351326	Congenital neutropenia	267541006
40388280	[X]Depression without psychotic symptoms: [recurrent: [major] or [manic-depressive psychosis, depressed type] or [vital] or [current severe episode]] or [endogenous]	192377000
40388281	[X]Recurrent depressive disorder, current episode severe with psychotic symptoms	192378005
40388325	[X]Other reactions to severe stress	192417008
40388326	[X]Reaction to severe stress, unspecified	192418003
40371867	Severe anxiety (panic)	286544004
40335956	CIN III - severe dyskaryosis	168405008
40353442	[EDTA] Severe nephrotic syndrome with focal sclerosis (paediatric patients only) associated with renal failure	274552005
40356716	[X]Severe depressive episode without psychotic symptoms	268702009
40356718	[X]Severe depressive episode with psychotic symptoms	268704005
40356722	[X]Recurrent depressive disorder, current episode severe without psychotic symptoms	268708008
40356723	[X]Recurrent depressive disorder, current episode severe with psychotic symptoms	268709000
40356742	[X]Severe mental and behavioral disorders associated with the puerperium, not elsewhere classified	268726006
40351261	Corticoadrenal insufficiency	267483004
40351274	Dietary deficiency	267495004
40337632	Recurrent severe hypos	170767002
40361380	Severe mental retardation, IQ in range 20-34	276235008
40322977	Severe birth asphyxia, APGAR 0-3	157104000
40322279	Severe depression	154967000
40321173	Addison's disease	154707007
40321198	Kwashiokor	154730001
40318659	Severe proteinuric hypertension of pregnancy	156110008
40318665	Severe hyperemesis gravidarum	156115003
40322290	Severe mental retardation, IQ in range 20-34	154977003
40316554	Severe chronic obstructive pulmonary disease	155584009
40313874	CIN III - severe dyskaryosis	145597000
40313875	Cervical smear - severe dyskaryosis ? invasive carcinoma	145598005
40313888	Cervical smear - severe inflammation	145609003
40318188	Dysmenorrhoea	156030009
40316546	Status asthmaticus	155577001
40303988	O/E - significantly deaf	141259005
40306231	Symptom severe	139737008
40306232	Symptom very severe	139738003
40300664	Severely abnormal behavior	142722008
4101159	Other severe protein-calorie malnutrition (weight for age less than 60% of standard)	190600000
4098907	Carcinoma in situ of esophagus NOS	189217007
4104389	Better eye: severe visual impairment, Lesser eye: low vision unspecified	193724000
4104393	Lesser eye: severe visual impairment, Better eye: unspecified	193747004
4100376	Unspecified bipolar affective disorder, severe, without mention of psychosis	191650002
4144104	Status asthmaticus NOS	266363006
4102668	Unspecified bipolar affective disorder, severe, with psychosis	191651003
4109117	Better eye: severe visual impairment, Lesser eye: blind, unspecified	193713002
4062547	Severe pre-eclampsia NOS	198987001
4058534	Severe pre-eclampsia unspecified	198982007
432898	Severe intellectual disability	40700009
40633330	Stress ulcer of stomach	77282005
439257	Bipolar affective disorder, currently manic, severe, without mention of psychosis	191622002
439258	Recurrent manic episodes, severe without mention of psychosis	191594001
439263	Single manic episode, severe without mention of psychosis	191585007
194201	Liver minor laceration without mention of open wound into cavity	210166002
40631992	Junctional epidermolysis bullosa	76905008
439244	Bipolar affective disorder, currently depressed, severe, without mention of psychosis	191631002
439247	Mixed bipolar affective disorder, severe, without mention of psychosis	191640003
439252	Recurrent major depressive episodes, severe, without mention of psychosis	191612008
40612883	Infantile malignant osteopetrosis	63941000
35622255	Severe combined immunodeficiency due to CTPS1 deficiency	763623001
35622830	SURF1-related Charcot-Marie-Tooth disease type 4	765047006
35622943	Severe combined immunodeficiency due to complete RAG1 and/or RAG2 deficiency	765188009
40560611	Removed from severe mental illness register	390685005
40560612	On severe mental illness register	390686006
35625463	PURA syndrome	768473009
35625535	5q31.3 microdeletion syndrome	768555009
35626043	Severe nonproliferative diabetic retinopathy of right eye	769187006
35626044	Severe nonproliferative diabetic retinopathy of left eye	769188001
35626046	Very severe nonproliferative diabetic retinopathy of right eye	769190000
35626047	Very severe nonproliferative diabetic retinopathy of left eye	769191001
35626071	Clinically significant macular edema of right eye due to diabetes mellitus	769221001
35626072	Clinically significant macular edema of left eye due to diabetes mellitus	769222008
35626764	Clinically significant macular edema with diabetes mellitus	770097006
45773067	Bilateral moderate to severe visual impairment	8771000119104
45772124	Severe hearing loss	3561000119106
45768912	Exacerbation of severe persistent asthma	707447008
45769442	Acute severe exacerbation of allergic asthma	708095007
45769443	Acute severe exacerbation of intrinsic asthma	708096008
45770554	Significant intellectual development disorder	931001000000105
45769350	Acute severe exacerbation of severe persistent asthma	707979007
45769351	Acute severe exacerbation of moderate persistent asthma	707980005
45769352	Acute severe exacerbation of mild persistent asthma	707981009
45768730	Severe acute respiratory infection	707224005
45768707	Abutment tooth condition severely compromised, 4 or more sextants	707195006
45769833	Severe malnutrition due to type 1 diabetes mellitus	72031000119107
45769835	Severe malnutrition due to type 2 diabetes mellitus	72051000119101
45757686	Severe hyperstimulation of ovaries	32591000119103
45768965	Uncomplicated severe persistent asthma	707513007
45770280	Severe frailty	925861000000102
40541325	Metachromatic leukodystrophy	3621006
45773633	Severe alcohol dependence	928151000000102
40565450	On severe mental illness register	389952009
40547675	Dysmenorrhoea	367433008
40565487	Morbid obesity	389986000
40544275	Status asthmaticus	36979006
40534112	Infantile malignant osteopetrosis	360504006
40500115	Dysmenorrhea	29837005
40515654	Severe protein-calorie malnutrition (Gomez: less than 60% of standard weight)	30773007
40503785	Patient suffering from severe ment impairment under MHA 1983	303003002
40454931	Vulval intraepithelial neoplasia grade 3	252992002
46273014	Spinal muscular atrophy with respiratory distress type 1	711483003
46269944	Severe sepsis with acute organ dysfunction due to Chromobacterium	1092571000119109
46269945	Severe sepsis with acute organ dysfunction due to coagulase negative Staphylococcus	1092581000119107
46269946	Severe sepsis with acute organ dysfunction due to Enterococcus	1092591000119105
46269947	Severe sepsis with acute organ dysfunction due to Group A streptococcus	1092631000119105
46269948	Severe sepsis with acute organ dysfunction due to Group B streptococcus	1092641000119101
46274059	Acute severe exacerbation of severe persistent allergic asthma	10675471000119109
46274081	Severe sepsis with acute organ dysfunction due to Gram-positive bacteria	1092611000119100
46274124	Acute severe exacerbation of mild persistent allergic asthma	10675911000119109
46274129	Severe sepsis with acute organ dysfunction due to Gram-negative bacteria	127291000119107
46273462	Acute severe exacerbation of moderate persistent allergic asthma	10676431000119103
46269767	Acute severe exacerbation of asthma co-occurrent with allergic rhinitis	10674711000119105
46269770	Severe persistent allergic asthma	10675431000119106
46269771	Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis	10675551000119104
46269772	Severe persistent allergic asthma controlled	10675591000119109
46269773	Severe persistent asthma controlled co-occurrent with allergic rhinitis	10675631000119109
46269774	Severe persistent allergic asthma uncontrolled	10675671000119107
46269775	Severe persistent asthma uncontrolled co-occurrent with allergic rhinitis	10675711000119106
46269777	Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis	10675991000119100
46269785	Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis	10676511000119109
46273569	Completely dentate teeth condition severely compromised with 4 or more in all sextants	710095001
46273607	MECP2-related severe neonatal encephalopathy	711487002
46271664	Severely compromised location and extent of edentulous area	709849005
46287068	At risk of severe asthma exacerbation	966011000000109
46271747	Severely compromised dentate occlusal scheme	709989000
46271749	Severely compromised partially dentate occlusal scheme	709992001
46273811	Severely compromised occlusal scheme	709991008
46274020	Severe sepsis with acute organ dysfunction due to methicillin resistant Staphylococcus aureus	127321000119104
46274021	Severe sepsis with acute organ dysfunction due to Serratia	127381000119100
46270028	Severe persistent asthma co-occurrent with allergic rhinitis	124991000119109
46270049	Severe sepsis with acute organ dysfunction due to anaerobic bacteria	127271000119106
46270050	Severe sepsis with acute organ dysfunction due to Haemophilus influenzae	127301000119108
46270051	Severe sepsis with acute organ dysfunction due to Meningococcus	127311000119106
46270052	Severe sepsis with acute organ dysfunction due to methicillin susceptible Staphylococcus aureus	127331000119101
46270053	Severe sepsis with acute organ dysfunction due to Pneumococcus	127341000119105
46270054	Severe sepsis with acute organ dysfunction due to Pseudomonas	127351000119107
46270055	Severe sepsis with acute organ dysfunction due to Salmonella	127361000119109
46270056	Severe sepsis with acute organ dysfunction due to Staphylococcus	127391000119102
46270057	Severe sepsis with acute organ dysfunction due to Streptococcus	127401000119100
37017563	Severe alcohol dependence	713862009
37016131	Severe sepsis with acute organ dysfunction caused by Gonococcus	1092601000119103
37018074	Severe gingivitis	714477000
36674508	Severe intellectual disability and progressive spastic paraplegia	778011005
36674871	Severe infantile axonal neuropathy with respiratory failure type 2	770727008
36674894	Severe motor and intellectual disabilities, sensorineural deafness, dystonia syndrome	770751003
36674945	Severe congenital neutropaenia type 3	770942003
36674950	Autosomal dominant severe congenital neutropaenia	770947009
36675039	Severe congenital encephalopathy due to methyl-CpG binding protein 2 mutation	771303004
36675043	Severe early-onset axonal neuropathy due to light neurofilament subunit deficiency	771307003
36675182	Severe combined immunodeficiency due to caspase recruitment domain family member 11 deficiency	771517009
36676500	Severe feeding difficulties, failure to thrive, microcephaly due to ASXL transcriptional regulator 3 deficiency syndrome	773400009
