modified_concept_id	modified_concept_name	modified_concept_code	parent_concept_id	parent_concept_name	parent_concept_code
44791875	Non-significant homozygote	302841000000105	4329704	Homozygote	22061001
44794775	[X]Recurrent depressive disorder, current episode severe without psychotic symptoms	402441000000102	44813318	[X]Recurrent depressive disorder	456601000000107
44793521	Severe chronic fatigue syndrome	377161000000108	432738	Chronic fatigue syndrome	52702003
44794929	Patient suffering from severe mental impairment under Mental Health Act 1983	400581000000107	46286026	Patient suffering from mental disorder under the Mental Health Act 1983	980071000000103
44794929	Patient suffering from severe mental impairment under Mental Health Act 1983	400581000000107	4116337	Patient suffering from mental disorder under the MHA 1983	303000004
44800999	[X]Other mental retardation, significant impairment of behaviour requiring attention or treatment	479801000000100	44795103	[X]Other mental retardation	401201000000109
44801053	[X]Severe mental retardation with the statement of no, or minimal, impairment of behaviour	466971000000101	432898	Severe intellectual disability	40700009
44800324	[X]Severe mental retardation, significant impairment of behaviour requiring attention or treatment	470851000000108	432898	Severe intellectual disability	40700009
44800377	[X]Severe cervical dysplasia, not elsewhere classified	477581000000103	192367	Dysplasia of cervix	73391008
132685	Severe pre-eclampsia - not delivered	198985009	433536	Severe pre-eclampsia	46764007
44801788	[X]Severe learning disability	508171000000105	4085156	Developmental academic disorder	1855002
44802020	Severe lymphoedema of limb	511221000000105	4205497	Lymphedema of limb	439500002
44805371	Severe lower urinary tract symptoms	763101000000106	443350	Lower urinary tract symptoms	307541003
44796187	[X]Unspecified severe protein-energy malnutrition	419491000000100	4090739	Nutritional disorder	2492009
44805540	Mixed bipolar affective disorder, severe	764591000000108	435226	Bipolar affective disorder, current episode mixed	192362008
44805542	Recurrent major depressive episodes, severe	764611000000100	432285	Recurrent major depressive episodes	268621008
44805543	Recurrent manic episodes, severe	764621000000106	437249	Recurrent manic episodes	191590005
44805545	Single manic episode, severe	764641000000104	443237	Manic disorder, single episode	268619003
44795731	[X]Moderate mental retardation, significant impairment of behaviour requiring attention or treatment	412931000000103	436682	Moderate intellectual disability	61152003
44798294	[X]Mild mental retardation, significant impairment of behaviour requiring attention or treatment	441311000000109	432612	Mild intellectual disability	86765009
44798442	[X]Recurrent depressive disorder, current episode severe with psychotic symptoms	444051000000108	44813318	[X]Recurrent depressive disorder	456601000000107
44805668	[X]Single major depressive episode, severe, with psychosis, psychosis in remission	755321000000106	439259	Single major depressive episode, severe, with psychosis	191604000
44805669	[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission	755331000000108	434911	Recurrent major depressive episodes, severe, with psychosis	191613003
44795861	[X]Severe mental retardation, other impairments of behaviour	414741000000101	432898	Severe intellectual disability	40700009
44797280	[X]Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified	432081000000107	44799915	[X]Mental and behavioural disorders associated with the puerperium, not elsewhere classified	454031000000104
44798574	[X]Profound mental retardation, significant impairment of behaviour requiring attention or treatment	442261000000105	438733	Profound intellectual disability	31216003
44800821	[X]Reaction to severe stress, unspecified	466091000000103	4152371	Stress and adjustment reaction	271952001
44801236	[X]Severe mental retardation without mention of impairment of behaviour	468051000000105	432898	Severe intellectual disability	40700009
44798264	[X]Unspecified mental retardation, significant impairment of behaviour requiring attention or treatment	442361000000101	44795872	[X]Unspecified mental retardation	410331000000103
44813514	[X]Bipolar affective disorder, current episode severe depression without psychotic symptoms	465911000000102	436665	Bipolar disorder	13746004
44808886	Severe sensorineural hearing loss	860811000000106	374366	Sensorineural hearing loss	60700002
44809027	Severe hypertension	843841000000109	316866	Hypertensive disorder	38341003
44796366	[X]Other reactions to severe stress	415011000000100	4152371	Stress and adjustment reaction	271952001
44805139	Antenatal screening shows non significant haemoglobinopathy carrier	750571000000106	4168318	Genetic disorder carrier	47461006
44805140	Antenatal screening shows carrier of significant haemoglobinopathy including sickle cell or thalassaemia	750601000000104	4168318	Genetic disorder carrier	47461006
44805730	[D]Severe wheeze	755601000000105	4084392	Wheeze - rhonchi	24612001
44805731	[D]Very severe wheeze	755611000000107	4084392	Wheeze - rhonchi	24612001
44795878	[X]Other severe and complicated plasmodium falciparum malaria	411841000000106	438067	Malaria	61462000
44812417	[X]Severe vaginal dysplasia, not elsewhere classified	396371000000107	195513	Carcinoma in situ of vagina	92791005
44806788	Severe visual impairment, binocular	813871000000108	4288370	Severe visual impairment	397541004
44806789	Severe visual impairment, monocular	813881000000105	4288370	Severe visual impairment	397541004
44810468	Bilateral severe sensorineural hearing loss	898061000000101	4110815	Sensorineural hearing loss, bilateral	194424005
44810571	Severe cognitive impairment	888311000000101	NA	NA	NA
29783	Severe combined immunodeficiency disease	31323000	4180159	Hereditary disorder of immune system	363138005
29783	Severe combined immunodeficiency disease	31323000	4263109	Congenital immunodeficiency disease	36138009
29783	Severe combined immunodeficiency disease	31323000	40483560	Combined immunodeficiency disease	442459007
381557	Impairment level: better eye: severe impairment: lesser eye: profound impairment	30272003	4285598	Impairment level of both eyes	68777001
433536	Severe pre-eclampsia	46764007	439393	Pre-eclampsia	398254007
372599	Severe mixed bipolar I disorder without psychotic features	46229002	42872412	Severe mixed bipolar I disorder	271000119101
372599	Severe mixed bipolar I disorder without psychotic features	46229002	4200385	Severe bipolar disorder without psychotic features	53049002
372599	Severe mixed bipolar I disorder without psychotic features	46229002	372887	Disorder of brain	81308009
372909	Impairment level: better eye: severe impairment: lesser eye: not further specified	39914007	4285598	Impairment level of both eyes	68777001
374933	Impairment level: better eye: moderate impairment: lesser eye: severe impairment	29887003	4285598	Impairment level of both eyes	68777001
374934	Impairment level: one eye: severe impairment: other eye: near-normal vision	72020003	375252	Disorder of eye	371405004
374934	Impairment level: one eye: severe impairment: other eye: near-normal vision	72020003	4285598	Impairment level of both eyes	68777001
376689	Impairment level: severe impairment of both eyes	86643000	4285598	Impairment level of both eyes	68777001
374038	Impairment level: one eye: severe impairment: other eye: normal vision	75000006	4042550	Blindness of one eye	22950006
374039	Impairment level: better eye: severe impairment: lesser eye: near-total impairment	1909000	4285598	Impairment level of both eyes	68777001
432427	Severe birth asphyxia	57284007	4184996	Birth asphyxia	413654009
432427	Severe birth asphyxia	57284007	439136	Asphyxia, in liveborn infant	28314004
320651	Severe acute respiratory syndrome	398447004	4193169	Viral respiratory infection	312133006
320651	Severe acute respiratory syndrome	398447004	439676	Coronavirus infection	186747009
380717	Impairment level: better eye: severe impairment: lesser eye: total impairment	58937003	4285598	Impairment level of both eyes	68777001
381013	Impairment level: one eye: severe impairment: other eye: not specified	31264007	4042550	Blindness of one eye	22950006
436386	Severe depressed bipolar I disorder with psychotic features	59617007	4195158	Severe bipolar disorder with psychotic features	4441000
436386	Severe depressed bipolar I disorder with psychotic features	59617007	42872413	Severe depressed bipolar I disorder	261000119107
442570	Severe depressed bipolar I disorder without psychotic features	61403008	42872413	Severe depressed bipolar I disorder	261000119107
442570	Severe depressed bipolar I disorder without psychotic features	61403008	4200385	Severe bipolar disorder without psychotic features	53049002
435220	Severe recurrent major depression without psychotic features	36474008	4327337	Severe major depression without psychotic features	75084000
435220	Severe recurrent major depression without psychotic features	36474008	43531624	Severe recurrent major depression	281000119103
439246	Mixed bipolar affective disorder, severe, with psychosis	191641004	435226	Bipolar affective disorder, current episode mixed	192362008
439256	Bipolar affective disorder, currently manic, severe, with psychosis	191623007	440078	Bipolar affective disorder, current episode manic	191618007
439259	Single major depressive episode, severe, with psychosis	191604000	432284	Single major depressive episode	268620009
439259	Single major depressive episode, severe, with psychosis	191604000	42872411	Severe major depression, single episode	251000119105
439262	Single manic episode, severe, with psychosis	191586008	443237	Manic disorder, single episode	268619003
439001	Severe mixed bipolar I disorder with psychotic features	10981006	42872412	Severe mixed bipolar I disorder	271000119101
439001	Severe mixed bipolar I disorder with psychotic features	10981006	4195158	Severe bipolar disorder with psychotic features	4441000
437522	Severe mood disorder without psychotic features	88939009	444100	Mood disorder	46206005
437532	Recurrent manic episodes, severe, with psychosis	191595000	437249	Recurrent manic episodes	191590005
438406	Severe major depression, single episode, with psychotic features	430852001	4250023	Severe major depression with psychotic features	73867007
438490	Severe pre-eclampsia - delivered	198983002	433536	Severe pre-eclampsia	46764007
441534	Severe major depression, single episode, without psychotic features	76441001	4327337	Severe major depression without psychotic features	75084000
441534	Severe major depression, single episode, without psychotic features	76441001	4282096	Major depression, single episode	36923009
438129	Severe manic bipolar I disorder with psychotic features, mood-congruent	78640000	4102603	Severe manic bipolar I disorder with psychotic features	28663008
438129	Severe manic bipolar I disorder with psychotic features, mood-congruent	78640000	4322477	Severe bipolar disorder with psychotic features, mood-congruent	70546001
439772	Carcinoma in situ of trachea	92772005	4129254	Neoplasm of trachea	126703006
439772	Carcinoma in situ of trachea	92772005	261528	Carcinoma in situ of respiratory tract	92698005
256716	Asthma with status asthmaticus	57546000	4125022	Acute asthma	304527002
376114	Severe nonproliferative diabetic retinopathy	312905005	376683	Nonproliferative diabetic retinopathy	390834004
440370	Nutritional marasmus	29740003	433163	Deficiency of macronutrients	238107002
440370	Nutritional marasmus	29740003	4179873	Degenerative disorder	362975008
432872	Classical phenylketonuria	7573000	442575	Enzymopathy	78548001
432872	Classical phenylketonuria	7573000	4312226	Autosomal recessive hereditary disorder	85995004
432872	Classical phenylketonuria	7573000	444377	Inborn error of metabolism	86095007
432872	Classical phenylketonuria	7573000	4287416	Hyperphenylalaninemia	68528007
378758	Impairment level: better eye: severe impairment: lesser eye: blind, not further specified	111518009	4285598	Impairment level of both eyes	68777001
4009170	Tay-Sachs disease	111385000	4142635	GM 2 gangliosidosis	33316007
4009170	Tay-Sachs disease	111385000	4312226	Autosomal recessive hereditary disorder	85995004
4012965	Severely abnormal behavior	165312001	4275367	Interpretations of behavior finding	365947001
4009791	SCID due to absent IL-2 receptor	111587007	29783	Severe combined immunodeficiency disease	31323000
434895	Congenital neutropenia	89655007	4263109	Congenital immunodeficiency disease	36138009
434895	Congenital neutropenia	89655007	4119158	Neutropenic disorder	303011007
434911	Recurrent major depressive episodes, severe, with psychosis	191613003	432285	Recurrent major depressive episodes	268621008
4011335	Severe vertigo, acute onset	103299002	4012422	Severe vertigo	103298005
439077	Severe pre-eclampsia - delivered with postnatal complication	198984008	433536	Severe pre-eclampsia	46764007
444415	Carcinoma in situ of bronchus	92557009	4055270	Neoplasm of bronchus	126705004
444415	Carcinoma in situ of bronchus	92557009	261528	Carcinoma in situ of respiratory tract	92698005
4034842	Severe recurrent major depression with psychotic features, mood-incongruent	15193003	4154309	Severe recurrent major depression with psychotic features	28475009
4034842	Severe recurrent major depression with psychotic features, mood-incongruent	15193003	4243822	Severe major depression with psychotic features, mood-incongruent	60099002
4029282	Severe systemic illness-induced cutaneous atrophy	238156001	134118	Atrophic condition of skin	400190005
4029282	Severe systemic illness-induced cutaneous atrophy	238156001	4031170	Severe systemic illness tissue wasting	238153009
4030102	Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent	13581000	4220617	Severe bipolar I disorder, single manic episode with psychotic features	41832009
4029420	Diabetic severe hyperglycemia	237621004	4214376	Hyperglycemia	80394007
4029420	Diabetic severe hyperglycemia	237621004	4034964	Abnormal metabolic state in diabetes mellitus	237620003
4006459	Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks	111490003	35622960	Disorder in partial remission	765207007
4006459	Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks	111490003	4204708	Panic disorder with agoraphobia AND severe panic attacks	5509004
4006469	Reticular dysgenesis	111584000	434895	Congenital neutropenia	89655007
4006469	Reticular dysgenesis	111584000	4142350	SCID due to absent peripheral T cell maturation	3439009
4006469	Reticular dysgenesis	111584000	4185785	Hereditary white blood cell disorder	414395005
4006469	Reticular dysgenesis	111584000	4212886	Disorder of immune structure	414030009
4030856	Severe bipolar I disorder, single manic episode without psychotic features	14495005	4154283	Severe bipolar I disorder	371599001
4030856	Severe bipolar I disorder, single manic episode without psychotic features	14495005	4200385	Severe bipolar disorder without psychotic features	53049002
4031048	Severe chronic ulcerative colitis	14311001	40479837	Chronic ulcerative colitis	444546002
4034968	Recurrent severe hypoglycemia	237636001	4027557	Chronic metabolic disorder	128289001
4034968	Recurrent severe hypoglycemia	237636001	440059	Recurrent disease	58184002
4034968	Recurrent severe hypoglycemia	237636001	4154498	Hypoglycemic syndrome	271327008
4012422	Severe vertigo	103298005	439383	Vertigo	399153001
4021466	Severe hereditary spherocytosis due to combined deficiency of spectrin AND ankyrin	10564005	4168441	Hereditary spherocytosis due to combined deficiency of spectrin AND ankyrin	47516005
443797	Severe manic bipolar I disorder without psychotic features	162004	43020451	Severe manic bipolar I disorder	23741000119105
443797	Severe manic bipolar I disorder without psychotic features	162004	4200385	Severe bipolar disorder without psychotic features	53049002
4031170	Severe systemic illness tissue wasting	238153009	4080011	Organ dysfunction syndrome	238147009
4031171	Severe systemic illness-induced skeletal muscle wasting	238154003	78236	Muscle atrophy	88092000
4031171	Severe systemic illness-induced skeletal muscle wasting	238154003	4031170	Severe systemic illness tissue wasting	238153009
4031928	Severe mixed bipolar I disorder with psychotic features, mood-incongruent	10875004	4131027	Severe bipolar disorder with psychotic features, mood-incongruent	26530004
4031928	Severe mixed bipolar I disorder with psychotic features, mood-incongruent	10875004	439001	Severe mixed bipolar I disorder with psychotic features	10981006
4000165	Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent	19300006	4147991	Severe bipolar II disorder, most recent episode major depressive with psychotic features	30520009
4045263	Severe bipolar II disorder, most recent episode major depressive, in full remission	12969000	4262272	Severe bipolar II disorder, most recent episode major depressive, in remission	35722002
4045263	Severe bipolar II disorder, most recent episode major depressive, in full remission	12969000	37117177	Bipolar type II disorder currently in full remission	723905008
4054913	Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks	19766004	4204708	Panic disorder with agoraphobia AND severe panic attacks	5509004
4032345	Severe hyperemesis gravidarum	129598007	4030872	Hyperemesis gravidarum	14094001
4029879	Arylsulfatase A deficiency	238031009	4262609	Metachromatic leukodystrophy	396338004
4030770	No significant change since previous mammogram	129723006	4032369	Change since last mammogram	129720009
4050225	Severe multi tissue damage lower arm	210557006	134222	Injury of forearm	125597008
4050230	Severe multi tissue damage hand	210574006	80004	Injury of hand	125599006
4049502	Dengue hemorrhagic fever	20927009	437312	Bleeding	131148009
4049502	Dengue hemorrhagic fever	20927009	4027384	Inflammatory disorder	128139000
4049502	Dengue hemorrhagic fever	20927009	440022	Dengue	38362002
4047511	Severe bone marrow hyperplasia	123727000	4005251	Bone marrow hyperplasia	10138007
4053146	Severe multi tissue damage foot	210724006	444130	Injury of foot	125604000
4031286	Severe systemic illness-induced intestinal villous atrophy	238155002	4294135	Villous atrophy of intestine	75581001
4031286	Severe systemic illness-induced intestinal villous atrophy	238155002	4031170	Severe systemic illness tissue wasting	238153009
4059358	Severe dyskaryosis on cervical smear cannot exclude invasive carcinoma	168406009	4151556	Cervical smear - severe dyskaryosis	269960002
4050527	Severe multi tissue damage lower leg	210704007	444131	Injury of lower leg	125602001
4043550	Severe myoclonic epilepsy in infancy	230437002	36716897	Epileptic encephalopathy	723125008
4043550	Severe myoclonic epilepsy in infancy	230437002	44782522	Refractory myoclonic epilepsy	698762005
4052979	Severe multi tissue damage upper arm	210528007	444190	Injury of upper arm	125595000
4051395	Severe steroid 21-hydroxylase deficiency	15991002	4051375	Deficiency of steroid 21-monooxygenase	124221007
4051395	Severe steroid 21-hydroxylase deficiency	15991002	4312226	Autosomal recessive hereditary disorder	85995004
4051395	Severe steroid 21-hydroxylase deficiency	15991002	4176808	Hereditary disorder of endocrine system	363104002
4051395	Severe steroid 21-hydroxylase deficiency	15991002	444377	Inborn error of metabolism	86095007
4051448	Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent	20960007	4147991	Severe bipolar II disorder, most recent episode major depressive with psychotic features	30520009
4056830	Severe hereditary factor VIII deficiency disease	16872008	434007	Hereditary factor VIII deficiency disease	28293008
4067409	Severe major depression, single episode, with psychotic features, mood-incongruent	20250007	438406	Severe major depression, single episode, with psychotic features	430852001
4067409	Severe major depression, single episode, with psychotic features, mood-incongruent	20250007	4243822	Severe major depression with psychotic features, mood-incongruent	60099002
4067409	Severe major depression, single episode, with psychotic features, mood-incongruent	20250007	4282096	Major depression, single episode	36923009
4088744	Severe adrenal insufficiency	24867002	4035127	Hypoadrenalism	237785004
4088744	Severe adrenal insufficiency	24867002	4032351	Disorder of adrenal cortex	129636003
4057976	Severe pre-eclampsia with postnatal complication	198986005	433536	Severe pre-eclampsia	46764007
4056306	Severe multi tissue damage hip or thigh	210679005	4130852	Injury of lower extremity	127279002
4078430	Severe systemic illness-induced respiratory muscle wasting	276230003	4043346	Disorder of thorax	118946009
4078430	Severe systemic illness-induced respiratory muscle wasting	276230003	4031171	Severe systemic illness-induced skeletal muscle wasting	238154003
4058745	Cervical smear - severe inflammation	168416001	4056398	Cervical smear - inflammatory change	168414003
4064990	Lung function significantly obstructed	165021009	4275658	Respiratory measurements - finding	366147009
4059038	Disability - severe	161045001	4052648	Disability	21134002
4062835	O/E - significantly deaf	164061000	4152356	O/E - specified examination findings	271880003
4062835	O/E - significantly deaf	164061000	377889	Hearing loss	15188001
4096098	Lymphopenic agammaglobulinemia - short-limbed dwarfism syndrome	25109007	134741	Congenital anomaly of limb	60475009
4096098	Lymphopenic agammaglobulinemia - short-limbed dwarfism syndrome	25109007	4025195	Osteochondrodysplasia syndrome	105985007
4096098	Lymphopenic agammaglobulinemia - short-limbed dwarfism syndrome	25109007	440076	Short stature disorder	237836003
4096098	Lymphopenic agammaglobulinemia - short-limbed dwarfism syndrome	25109007	4150458	Chondrodysplasia punctata	278715001
4096098	Lymphopenic agammaglobulinemia - short-limbed dwarfism syndrome	25109007	4019094	Congenital agammaglobulinemia	116133005
4098948	Cervical intraepithelial neoplasia grade III with severe dysplasia	252991009	194611	Carcinoma in situ of uterine cervix	92564006
4097998	Severe combined immunodeficiency with reticular dysgenesis	190996002	434895	Congenital neutropenia	89655007
4097998	Severe combined immunodeficiency with reticular dysgenesis	190996002	4013842	RBC count low	165423001
4097998	Severe combined immunodeficiency with reticular dysgenesis	190996002	4013074	Hemoglobin low	165397008
4097998	Severe combined immunodeficiency with reticular dysgenesis	190996002	4142350	SCID due to absent peripheral T cell maturation	3439009
4097998	Severe combined immunodeficiency with reticular dysgenesis	190996002	4185785	Hereditary white blood cell disorder	414395005
4097998	Severe combined immunodeficiency with reticular dysgenesis	190996002	4212886	Disorder of immune structure	414030009
4082315	Idiopathic infantile hypercalcemia - severe form	277481003	4145738	Idiopathic hypercalcemia of infancy	34225008
4101448	Severe combined immunodeficiency with low or normal B-cell numbers	190998001	29783	Severe combined immunodeficiency disease	31323000
4101448	Severe combined immunodeficiency with low or normal B-cell numbers	190998001	4212886	Disorder of immune structure	414030009
4094507	Severe depressed bipolar I disorder with psychotic features, mood-incongruent	26203008	4131027	Severe bipolar disorder with psychotic features, mood-incongruent	26530004
4094507	Severe depressed bipolar I disorder with psychotic features, mood-incongruent	26203008	436386	Severe depressed bipolar I disorder with psychotic features	59617007
4102603	Severe manic bipolar I disorder with psychotic features	28663008	43020451	Severe manic bipolar I disorder	23741000119105
4102603	Severe manic bipolar I disorder with psychotic features	28663008	4195158	Severe bipolar disorder with psychotic features	4441000
4109118	Better eye: severe visual impairment, Lesser eye: profound visual impairment	193716005	4103737	Better eye: low vision, Lesser eye: profound visual impairment	193711000
4109126	Lesser eye: severe visual impairment, Better eye: near normal vision	193748009	376402	Low vision, one eye	193745007
4109178	Dysplasias with significant membranous bone involvement	254094003	4025195	Osteochondrodysplasia syndrome	105985007
4109178	Dysplasias with significant membranous bone involvement	254094003	4023985	Skeletal dysplasia	105986008
4109188	Oculodento-osseous dysplasia - severe type	254138001	4111329	Oculodento-osseous dysplasia	254137006
4109559	Better eye: severe visual impairment, Lesser eye: severe visual impairment	193725004	4103741	Low vision, both eyes	193722001
4109563	Lesser eye: severe visual impairment, Better eye: normal vision	193749001	376402	Low vision, one eye	193745007
4127074	Androgen resistance - infertile male	236798003	4127739	Male infertility of developmental origin	236794001
4127074	Androgen resistance - infertile male	236798003	440359	Androgen resistance syndrome	12313004
4127074	Androgen resistance - infertile male	236798003	4276801	Disorder of testis	64910008
4127553	Chronic rejection of renal transplant - grade III	236581001	4128372	Chronic rejection of renal transplant	236578006
4104390	Better eye: moderate visual impairment, Lesser eye: severe visual impairment	193727007	4103741	Low vision, both eyes	193722001
4103738	Better eye: severe visual impairment, Lesser eye: total visual impairment	193714008	4103737	Better eye: low vision, Lesser eye: profound visual impairment	193711000
4120635	Severe combined immunodeficiency with maternofetal engraftment	234570002	29783	Severe combined immunodeficiency disease	31323000
4120635	Severe combined immunodeficiency with maternofetal engraftment	234570002	4212886	Disorder of immune structure	414030009
4111328	Craniometaphyseal dysplasia - severe type	254134004	4275508	Craniometaphyseal dysplasia	36601008
4121417	Severe birth asphyxia, APGAR 0-3	287985008	432427	Severe birth asphyxia	57284007
4109930	Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks	1816003	4233250	Panic disorder with agoraphobia AND mild panic attacks	89948007
4141603	Severe manic bipolar I disorder with psychotic features, mood-incongruent	33380008	4102603	Severe manic bipolar I disorder with psychotic features	28663008
4141603	Severe manic bipolar I disorder with psychotic features, mood-incongruent	33380008	4131027	Severe bipolar disorder with psychotic features, mood-incongruent	26530004
4100975	Autosomal recessive severe combined immunodeficiency	190993005	4179989	Autosomal recessive SCID	362993009
4143602	Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks	34116005	35622961	Disorder in full remission	765208002
4143602	Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks	34116005	4204708	Panic disorder with agoraphobia AND severe panic attacks	5509004
4146367	Sialic acid storage disease, severe infantile type	34566007	4150750	Sialic storage disease	278991002
4100976	Severe combined immunodeficiency with low T- and B-cell numbers	190997006	29783	Severe combined immunodeficiency disease	31323000
4100976	Severe combined immunodeficiency with low T- and B-cell numbers	190997006	4212886	Disorder of immune structure	414030009
4142350	SCID due to absent peripheral T cell maturation	3439009	29783	Severe combined immunodeficiency disease	31323000
4143622	Severe myopia	34187009	379805	Myopia	57190000
4113739	Severe ichthyoses	254159008	134743	Congenital ichthyosis of skin	13059002
4132144	Severe mood disorder with psychotic features	26516009	444100	Mood disorder	46206005
4131027	Severe bipolar disorder with psychotic features, mood-incongruent	26530004	4195158	Severe bipolar disorder with psychotic features	4441000
4138164	Severely limited jaw protrusion	425896005	4138620	Finding related to jaw protrusion	425845008
4155798	Severe bipolar disorder	371600003	436665	Bipolar disorder	13746004
4154283	Severe bipolar I disorder	371599001	4155798	Severe bipolar disorder	371600003
4161455	Significant coronary bypass graft disease	371805005	37016181	Coronary arteriosclerosis following coronary artery bypass graft	139011000119104
4161455	Significant coronary bypass graft disease	371805005	4180636	Cardiac complication of procedure	362999008
4161455	Significant coronary bypass graft disease	371805005	4300243	Postoperative complication	385486001
4161455	Significant coronary bypass graft disease	371805005	46273775	Arterial complication of procedure	709582000
4161455	Significant coronary bypass graft disease	371805005	439408	Graft complications	230131008
4145356	Severe persistent asthma	426656000	4152913	Severe asthma	370221004
4144233	Severe major depression with psychotic features, mood-congruent	33736005	4250023	Severe major depression with psychotic features	73867007
4141292	Severe recurrent major depression with psychotic features, mood-congruent	33078009	4154309	Severe recurrent major depression with psychotic features	28475009
4141292	Severe recurrent major depression with psychotic features, mood-congruent	33078009	4144233	Severe major depression with psychotic features, mood-congruent	33736005
4147991	Severe bipolar II disorder, most recent episode major depressive with psychotic features	30520009	4161200	Severe bipolar II disorder	371604007
4147991	Severe bipolar II disorder, most recent episode major depressive with psychotic features	30520009	4037669	Bipolar II disorder, most recent episode major depressive	16295005
4147991	Severe bipolar II disorder, most recent episode major depressive with psychotic features	30520009	4195158	Severe bipolar disorder with psychotic features	4441000
4151556	Cervical smear - severe dyskaryosis	269960002	4095039	Dyskaryosis on cervical smear	250538001
4129184	Severe postnatal depression	237350002	4239471	Postpartum depression	58703003
4146608	Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks	30059008	4217601	Panic disorder with agoraphobia AND moderate panic attacks	8185002
4155020	Mild intimal coronary irregularities without significant stenoses	371861004	4353828	Coronary artery finding	251015000
4129843	Severe postnatal psychosis	237352005	4057246	Postpartum psychosis	18260003
4172671	Severe childhood autosomal recessive muscular dystrophy	277373000	4247802	Muscular dystrophy	73297009
4161200	Severe bipolar II disorder	371604007	4155798	Severe bipolar disorder	371600003
4162095	Macular edema not clinically significant with diabetes mellitus	399864000	380097	Diabetic macular edema	312912001
